gene	orig.ident	first_type	n_high_spots	n_other_spots	high_neighbor_fraction	other_neighbor_fraction	delta_neighbor_fraction	enrichment_ratio
KCNJ15	IU_PDA_T8	Tumor Epithelial cells	20	3759	0.6433333333333333	0.6810676598386055	-0.0377343265052722	0.9446034673545528
KCNJ15	IU_PDA_T8	Normal Epithelial cells	20	3759	0.06	0.1206171854216522	-0.0606171854216522	0.4978578633197679
KCNJ15	IU_PDA_T8	iCAF	20	3759	0.01	0.00255387071029529	0.007446129289704711	3.8057618861456133
KCNJ15	IU_PDA_T8	B cells	20	3759	0.013333333333333332	0.008282344595193739	0.005050988738139594	1.602574695036485
KCNJ15	IU_PDA_T8	DCs	20	3759	0.003333333333333333	0.0010995832224882515	0.002233750110845082	2.8621051620009283
KCNJ15	IU_PDA_T8	SPP1-TAM	20	3759	0.01	0.01299991132393377	-0.0029999113239337696	0.7709975854223625
KCNJ15	IU_PDA_T8	PVL	20	3759	0.0	0.00030149862552097186	-0.00030149862552097186	0.2490668551361619
KCNJ15	IU_PDA_T8	C1Q-TAM	20	3759	0.003333333333333333	0.0016671100469983144	0.0016662232863350187	1.9429086146419312
KCNJ15	IU_PDA_T8	CD4+ cells	20	3759	0.0	0.0	0.0	1.0
KCNJ15	IU_PDA_T8	FCN1-TAM	20	3759	0.0	0.00030149862552097186	-0.00030149862552097186	0.2490668551361619
KCNJ16	IU_PDA_T8	myCAF	20	3759	0.26	0.17109160237651902	0.08890839762348099	1.5193502274015507
KCNJ16	IU_PDA_T8	Tumor Epithelial cells	20	3759	0.6566666666666667	0.6809967189855416	-0.024330052318874862	0.9642781243240854
KCNJ16	IU_PDA_T8	Normal Epithelial cells	20	3759	0.06333333333333332	0.12059945020838625	-0.057266116875052925	0.5255478233232743
KCNJ16	IU_PDA_T8	iCAF	20	3759	0.0	0.002607076350093108	-0.002607076350093108	0.036940221503749086
KCNJ16	IU_PDA_T8	B cells	20	3759	0.003333333333333333	0.008335550234991558	-0.005002216901658225	0.40700763289767417
KCNJ16	IU_PDA_T8	DCs	20	3759	0.003333333333333333	0.0010995832224882515	0.002233750110845082	2.8621051620009283
KCNJ16	IU_PDA_T8	SPP1-TAM	20	3759	0.006666666666666666	0.013017646537199709	-0.006350979870533043	0.5158445646082473
