gene	first_type	n_sections_used	n_sections_positive_delta	median_high_neighbor_fraction	median_other_neighbor_fraction	median_delta_neighbor_fraction	median_enrichment_ratio	wilcoxon_statistic	wilcoxon_pvalue	wilcoxon_fdr_global	wilcoxon_fdr_within_gene
KCNK17	DCs	4	3	0.016837606837606836	0.0030067197675815644	0.008582624779934933	3.1856520912970048	1.0	0.25	0.595360824742268	0.6875
KCNK17	C1Q-TAM	4	3	0.003333333333333333	0.0020641349342821126	0.0017026414951278154	1.9846712026708078	3.0	0.625	0.8542899408284024	0.7638888888888888
KCNK17	PVL	4	2	0.0016666666666666666	0.002593158416285324	0.0013857725678316727	1.3347893952529346	5.0	1.0	1.0	1.0
KCNK17	FCN1-TAM	4	2	0.003333333333333333	0.0007201327518364583	0.0006568220273804088	1.1204510001382237	1.0	0.5	0.7751677852348994	0.7638888888888888
KCNK17	CD4+ cells	4	1	0.0	0.0007802456252564327	-0.00012952169488389303	0.6392589347831689	2.0	0.75	0.9364864864864865	0.825
KCNK17	SPP1-TAM	4	0	0.0	0.005530232316841318	-0.005530232316841318	0.024648217954516757	0.0	0.125	0.49328125	0.4583333333333333
KCNK17	Normal Epithelial cells	4	1	0.04294871794871795	0.08444218402709873	-0.011776215378859999	0.8054564140473206	3.0	0.625	0.8542899408284024	0.7638888888888888
KCNK17	Tumor Epithelial cells	4	0	0.07166666666666666	0.14287124727366807	-0.0473801071552231	0.45047593949015574	0.0	0.125	0.49328125	0.4583333333333333
KCNK3	B cells	6	1	0.0	0.00023039351211869873	0.0	1.0	1.0	0.5	0.7751677852348994	1.0
KCNK3	C1Q-TAM	6	2	0.0	0.0008052708638360174	0.0	1.0	1.0	0.5	0.7751677852348994	1.0
KCNK3	CD4+ cells	6	1	0.0	0.00012902036678647127	0.0	1.0	3.0	1.0	1.0	1.0
KCNK3	FCN1-TAM	6	0	0.0	0.0	0.0	1.0	0.0	0.5	0.7751677852348994	1.0
KCNK3	PVL	6	2	0.00130718954248366	0.00257744907300581	-0.00026659785603132876	0.27297995375494655	10.0	1.0	1.0	1.0
KCNK3	DCs	6	1	0.0	0.0019101151286808856	-0.0005554012774229386	0.5412949244283387	3.0	0.625	0.8542899408284024	1.0
KCNK3	iCAF	6	2	0.0	0.005686263968368692	-0.0008669188769988972	0.11164314932407338	10.0	1.0	1.0	1.0
KCNK3	SPP1-TAM	6	0	0.0	0.00411346595897603	-0.00411346595897603	0.03908388838701714	0.0	0.03125	0.28875	0.34375
KCNK3	Normal Epithelial cells	6	3	0.07500000000000001	0.09043722594051729	-0.012184972707612932	0.929565757877759	9.0	0.84375	0.9967215401785714	1.0
KCNK3	Tumor Epithelial cells	6	2	0.1166666666666667	0.14422058549930164	-0.03978991136810864	0.5199551153560804	3.0	0.15625	0.49328125	0.859375
KCNK3	myCAF	6	3	0.6893333333333332	0.6317999261338374	-0.05378891524078355	0.9414554135126657	8.0	0.6875	0.8776895491803278	1.0
KCNK6	DCs	10	5	0.005409356725146199	0.003056493434109445	0.0003096742227176059	1.0156634439652774	9.0	0.25	0.595360824742268	0.7734375
KCNK6	B cells	10	4	0.0	0.0026137740195974913	0.0	1.0	5.0	0.3125	0.6875	0.7734375
KCNK6	C1Q-TAM	10	4	0.002116402116402116	0.0017233305085351941	0.0	1.0	8.0	0.375	0.7734375	0.7734375
KCNK6	CD4+ cells	10	3	0.0	0.0008006605041838504	0.0	1.0	8.0	0.6875	0.8776895491803278	0.8402777777777778
KCNK6	FCN1-TAM	10	3	0.0	0.00036164929700566574	0.0	1.0	7.0	0.5625	0.8329326923076923	0.7734375
KCNK6	PVL	10	4	0.0017904509283819627	0.0033194663859852603	-0.0002681740732886279	0.4034614353069693	24.0	0.76953125	0.945541057180851	0.845703125
KCNK6	iCAF	10	4	0.006199677938808374	0.01110286628148716	-0.00041020645459170665	0.8043145927888979	21.0	0.556640625	0.8329326923076923	0.7734375
KCNK6	SPP1-TAM	10	2	0.0018295739348370929	0.0040927823789213835	-0.0009903657785130912	0.4650485644191893	15.0	0.232421875	0.595360824742268	0.7734375
KCNK6	myCAF	10	5	0.6486507936507938	0.6284054686293807	-0.0018939151291146317	0.9975298153071079	25.0	0.845703125	0.9967215401785714	0.845703125
KCNK6	Tumor Epithelial cells	10	3	0.10711640211640211	0.14455502922738034	-0.010322815585973658	0.7855253082782641	21.0	0.556640625	0.8329326923076923	0.7734375
KCNK6	Normal Epithelial cells	10	1	0.02108262108262108	0.07522143560960012	-0.04842340605294987	0.2992691647929054	1.0	0.00390625	0.090234375	0.04296875
KCNMA1	myCAF	10	6	0.71	0.6305265192460517	0.05578652742673523	1.0663243337922235	15.0	0.232421875	0.595360824742268	0.3055555555555556
KCNMA1	PVL	10	8	0.0074603174603174605	0.002919928562505535	0.004188029094392854	5.327735856732418	5.0	0.01953125	0.205078125	0.07161458333333333
KCNMA1	B cells	10	5	0.006282051282051282	0.002391650153051584	0.0010908101269547052	1.2090588546994914	4.0	0.21875	0.595360824742268	0.3055555555555556
KCNMA1	C1Q-TAM	10	6	0.00292495804363462	0.0017000572770130345	0.0008233081552955786	1.3152077882585274	5.0	0.15625	0.49328125	0.3055555555555556
KCNMA1	DCs	10	5	0.005683760683760683	0.0029583199875165256	0.0007313807073998915	1.3642788021252388	9.0	0.25	0.595360824742268	0.3055555555555556
KCNMA1	CD4+ cells	10	5	0.0006872852233676975	0.0007637256592833504	2.6256740816904783e-05	1.0184639163277325	2.0	0.09375	0.469970703125	0.2578125
KCNMA1	FCN1-TAM	10	3	0.0	0.0003489611181631285	0.0	1.0	7.0	0.5625	0.8329326923076923	0.61875
KCNMA1	iCAF	10	3	0.010476190476190476	0.010870956135197049	-0.000614997930606381	0.7635556027504808	27.0	1.0	1.0	1.0
KCNMA1	SPP1-TAM	10	2	0.0005698005698005698	0.004134267776735787	-0.0006852555714448703	0.47144800786877983	15.0	0.232421875	0.595360824742268	0.3055555555555556
KCNMA1	Tumor Epithelial cells	10	0	0.10840862840862842	0.1449962790411623	-0.039412524724135034	0.5412085979477871	0.0	0.001953125	0.056396484375	0.0107421875
KCNMA1	Normal Epithelial cells	10	0	0.023919124110924637	0.0764196956802737	-0.058025046850842255	0.2691813085763971	0.0	0.001953125	0.056396484375	0.0107421875
