gene	n_sections_tested	n_sections_fdr_lt_0_05	n_sections_auc_gt_0_60	median_log2fc	max_log2fc	median_auc	max_auc	median_pct_positive_icaf	median_pct_positive_other	min_fdr	top_section	top_section_fdr
ENKUR	8	0	0	-14.895276592988093	0.5954394731456615	0.4966235041574397	0.5004703292304613	0.0	0.009308787141579856	0.29622373429628174	IU_PDA_T3	0.29622373429628174
SPDYE5	8	0	0	-14.89631110693746	3.023928604976407	0.4981321814403243	0.502116096652272	0.0	0.004123411925068368	0.5083283886233274	IU_PDA_T9	0.5083283886233274
PLEKHS1	8	0	0	-14.896760622389225	-1.2009460690739673	0.49296379867062845	0.49819873911738216	0.0	0.01407240265874311	0.07644431359379918	IU_PDA_T12	0.07644431359379918
GSPT2	8	0	0	-14.89995455298499	1.46519215132398	0.49703596140887707	0.5114298562258991	0.0	0.017661691542288555	0.6536214366048297	IU_PDA_T12	0.6536214366048297
CEACAM7	8	0	0	-14.90587910330477	1.3450021238399705	0.49045935235330534	0.4978985289702792	0.0	0.027486236151537717	0.06827313122122058	IU_PDA_T3	0.06827313122122058
SYTL5	8	0	0	-14.911519474819706	0.17385893483662354	0.4916202637283589	0.5051836934748327	0.0	0.02206248170910155	0.47456794593611396	IU_PDA_T12	0.47456794593611396
LIN7A	8	0	0	-14.913201927086462	0.6851049751911388	0.495505011706175	0.5107790838202126	0.0	0.015329236357041469	0.2108208468870943	IU_PDA_T9	0.2108208468870943
BLM	8	0	0	-14.915428484028283	0.5993205872560409	0.49561958626398944	0.5054546686542892	0.0	0.01597906660012892	0.22467990864091691	IU_PDA_T3	0.22467990864091691
CEP19	8	0	0	-14.923168381011243	-0.301642957048165	0.49329753657621145	0.4973880597014925	0.0	0.016779098309993468	0.1725252220945605	IU_PDA_T3	0.1725252220945605
SLC35G1	8	0	0	-14.926094693424073	0.4730760064816192	0.4956193298214808	0.4983091180082576	0.0	0.009697987711932744	0.6464920597870433	IU_PDA_T3	0.6464920597870433
SMCO2	8	0	0	-14.930146298465505	-0.026501604817832237	0.49593925277462	0.499629740818573	0.0	0.011699429358909882	0.33581813072302025	IU_PDA_T3	0.33581813072302025
SIX4	8	0	0	-14.93994590495425	0.6478556993633307	0.4960857477319286	0.4995116849420399	0.0	0.015532819862195263	0.6347586244953675	IU_PDA_T12	0.6347586244953675
ZNF497	8	0	0	-14.940131818824604	2.0969284952242018	0.4964533947907521	0.5686129951833284	0.0	0.01072777100817309	0.5624647727005824	IU_PDA_T6	0.5624647727005824
STX19	8	0	0	-14.960898863405518	2.361285520465638	0.49437412631720673	0.5068378937049823	0.0	0.011251747365586501	0.07236179113707589	IU_PDA_T12	0.07236179113707589
NTN5	8	0	0	-14.965938367748393	1.874001877488688	0.4960879620913005	0.5046763455084124	0.0	0.014155776308402469	0.1282075141146719	IU_PDA_T3	0.1282075141146719
CLNK	8	0	0	-14.970455651152973	0.38289390977475735	0.4960589858933878	0.5009921177203704	0.0	0.011612334229765358	0.9003954698500839	IU_PDA_T12	0.9003954698500839
DRICH1	8	0	0	-14.971967335388776	1.3615645876056655	0.4963308457711443	0.5013929733649645	0.0	0.010550380565090844	0.5892562344265747	IU_PDA_T3	0.5892562344265747
SYNGR3	8	0	0	-14.97410235946192	2.0116081529828596	0.49561532028571575	0.5154084379504491	0.0	0.014537660880457666	0.13495950442621485	IU_PDA_T3	0.13495950442621485
WSCD1	8	0	0	-14.974995737205528	1.056712353211031	0.49610503300689446	0.5016558071228404	0.0	0.009024569631514054	0.4868280233655069	IU_PDA_T3	0.4868280233655069
FBXO5	8	0	0	-14.977462653431303	2.4771395594529872	0.4961197413246694	0.5049245356037152	0.0	0.017612291839581823	0.4049002117702693	IU_PDA_T9	0.4049002117702693
PPIL6	8	0	0	-14.979243461739951	-0.8152631043436086	0.4955352106320089	0.497320431994704	0.0	0.010155638358615736	0.2573634094425899	IU_PDA_T3	0.2573634094425899
PRRT3	8	0	0	-14.988799502339077	1.352575213610254	0.49434953224551026	0.5036402404760255	0.0	0.015002597168663978	0.6445831681145643	IU_PDA_T3	0.6445831681145643
PYCR3	8	0	0	-14.991284738847739	-0.1569134282270427	0.49691665170976856	0.5002941393881901	0.0	0.00940670454725313	0.5716123319290826	IU_PDA_T3	0.5716123319290826
TNNI3K	8	0	0	-14.993713781441281	0.49699769838643876	0.4962120385215102	0.49953651066093807	0.0	0.007882567412471298	0.7138801678163579	IU_PDA_T12	0.7138801678163579
USP17L10	8	0	0	-14.994834472187257	-3.7093630863836777	0.49764192250098055	0.4990993695586911	0.0	0.004716154998038888	0.5270060341108689	IU_PDA_T3	0.5270060341108689
