orig.ident	gene	n_icaf_spots	n_other_spots	mean_normexpr_icaf	mean_normexpr_other	log2fc_icaf_vs_other	pct_positive_icaf	pct_positive_other	delta_pct_positive	auc_icaf_vs_other	mannwhitney_pvalue	mannwhitney_fdr
IU_PDA_T12	KCNE4	188	3454	0.6290845139919321	0.4258134463385229	0.5630312454446891	0.32978723404255317	0.2999420961204401	0.029845137922113074	0.5280371816826621	0.11025072166182641	0.3637684238788604
IU_PDA_T12	KCNAB1	188	3454	0.059576056613645643	0.05767975859250957	0.04666671103083978	0.0425531914893617	0.04834973943254198	-0.005796547943180276	0.49745438529487856	0.7507940363788483	0.966067271704435
IU_PDA_T12	KCNMB1	188	3454	0.24556164078546835	0.28007221257897863	-0.18971291457082604	0.1595744680851064	0.22235089751013318	-0.06277642942502679	0.4717495287609802	0.07104494083098381	0.27626051887922487
IU_PDA_T12	KCNK17	188	3454	0.23546807625197846	0.1251566813407382	0.9117907689161013	0.16489361702127658	0.10191082802547771	0.06298278899579887	0.5338198696546711	0.0033065142412801456	0.031187906863060433
IU_PDA_T12	KCND2	188	3454	0.12347952072311442	0.17075060532312733	-0.46761567010191735	0.10638297872340426	0.15402431962941518	-0.04764134090601092	0.4772773472631177	0.09211958024019436	0.3249794261115531
IU_PDA_T12	KCNMA1	188	3454	0.7594333196871348	0.7089389063677778	0.0992618555259645	0.3882978723404255	0.4299363057324841	-0.04163843339205858	0.4903850299991376	0.6218378198501548	0.9004972572498237
IU_PDA_T12	KCNA5	188	3454	0.0505417712395221	0.027948172490231706	0.8546991999640476	0.031914893617021274	0.024898668210770122	0.007016225406251152	0.503728332245069	0.5259277915508266	0.8416642482932878
IU_PDA_T12	KCNJ8	188	3454	0.4579801334065127	0.26566431296750204	0.785678295280675	0.2712765957446808	0.2020845396641575	0.06919205608052334	0.5417577831438111	0.0062479112738867155	0.0512111206704787
IU_PDA_T12	KCNMB4	188	3454	0.245452407539106	0.19518895838451655	0.33057036038567306	0.1595744680851064	0.1647365373480023	-0.005162069262895919	0.5016747465165272	0.9045371256286986	1.0
IU_PDA_T12	KCNJ16	188	3454	0.0	0.003907415209279354	-11.932368024370831	0.0	0.0052113491603937466	-0.0052113491603937466	0.4973943254198031	0.3212772434648006	0.6661738534619157
IU_PDA_T12	KCNK6	188	3454	0.3152864909265866	0.4007608731901206	-0.34607733104635063	0.22872340425531915	0.3167342211928199	-0.08801081693750076	0.46157245992928336	0.03048303145963726	0.15723057996750922
IU_PDA_T12	KCNN4	188	3454	0.11668540173350152	0.2756573197894366	-1.2402447011321271	0.09574468085106383	0.2356687898089172	-0.13992410895785337	0.4312545429905506	1.5338083117377745e-05	0.0003426271176270162
IU_PDA_T12	KCNB1	188	3454	0.021624702620063104	0.010699818979062225	1.015025790316068	0.015957446808510637	0.010422698320787493	0.005534748487723144	0.502779694218236	0.47096155850812993	0.8032610685784519
IU_PDA_T12	KCNJ15	188	3454	0.0987090185989618	0.32465854865707244	-1.717659217582166	0.06914893617021277	0.2484076433121019	-0.17925870714188913	0.40984858751493797	2.493077454256164e-08	1.1069140170969119e-06
IU_PDA_T12	KCNK15	188	3454	0.0040339367026924105	0.010733227762274016	-1.4116004583254849	0.005319148936170213	0.01013317892298784	-0.004814029986817628	0.4975937550049896	0.5161786664001434	0.8340242801063542
IU_PDA_T2	KCNAB2	38	4080	0.6476962229503845	0.22203042060439943	1.5445557055402521	0.07894736842105263	0.05392156862745098	0.025025799793601644	0.5141898864809081	0.44203445121164586	0.9089404590366876
IU_PDA_T2	KCNQ4	38	4080	0.0	0.042535554593590985	-15.376415561130976	0.0	0.011764705882352941	-0.011764705882352941	0.49411764705882355	0.5015263829231544	0.93976453761064
IU_PDA_T2	KCNC4	38	4080	0.3619778469557663	0.23992971549913228	0.5932875319760201	0.02631578947368421	0.05588235294117647	-0.029566563467492264	0.4859004127966976	0.4506360938791323	0.9150216179124767
IU_PDA_T2	KCND3	38	4080	0.27768909867115604	0.07137190191263995	1.9600274007286507	0.07894736842105263	0.01911764705882353	0.059829721362229096	0.5300245098039216	0.007987536789431317	0.1624102224696529
IU_PDA_T2	KCNN3	38	4080	0.0	0.05166647073406142	-15.656968641118715	0.0	0.012990196078431373	-0.012990196078431373	0.49350490196078434	0.47975607921286767	0.9316326938660902
IU_PDA_T2	KCNT2	38	4080	0.0	0.019120478145475347	-14.222906431671467	0.0	0.004656862745098039	-0.004656862745098039	0.497671568627451	0.6737519536727664	0.9785353139790642
IU_PDA_T2	KCNK1	38	4080	0.49717439970922434	0.5720732722522966	-0.2024475504263814	0.07894736842105263	0.13872549019607844	-0.05977812177502581	0.4704011867905057	0.29441482909464045	0.7985394174610281
IU_PDA_T2	KCNS3	38	4080	0.6211083962316649	0.5161107071843634	0.2671640369796354	0.05263157894736842	0.11936274509803922	-0.0667311661506708	0.4695175438596491	0.24889513337469893	0.7548444341925459
IU_PDA_T2	KCNK3	38	4080	0.09046335329557997	0.14493845005304262	-0.6800289977517144	0.02631578947368421	0.03333333333333333	-0.007017543859649124	0.4965557275541796	0.8139036313354273	0.9785353139790642
IU_PDA_T2	KCNE4	38	4080	0.5531732859127843	0.21403091696217674	1.369908144063552	0.07894736842105263	0.05269607843137255	0.026251289989680078	0.5143608101135191	0.43162726932833895	0.9019070243493504
IU_PDA_T2	KCNAB1	38	4080	0.0	0.0227528840670105	-14.473825212593932	0.0	0.005637254901960784	-0.005637254901960784	0.4971813725490196	0.6429754812824311	0.9785353139790642
IU_PDA_T2	KCNMB1	38	4080	0.13014732677390806	0.07678852140987753	0.7611754027860123	0.02631578947368421	0.018627450980392157	0.0076883384932920525	0.5039344685242518	0.7217750627570328	0.9785353139790642
