"gene_symbol","category","mean_CTRL","mean_shSigmaR1","median_CTRL","median_shSigmaR1","delta_sh_minus_ctrl","wilcox_p","rank_biserial","log2FoldChange","pvalue","padj","rho_all","rho_pvalue","rho_n","rho_CTRL","rho_CTRL_pvalue","rho_shSigmaR1","rho_shSigmaR1_pvalue","wilcox_padj","rho_padj"
"KRT19","apCAF",9.7883530887158,9.61461195464109,9.78647354627889,9.59717972316099,-0.17374113407471,0.662520583540057,-0.333333333333333,-0.131173408264246,0.190715645093325,0.461368563751659,0.428571428571429,0.419444444444444,6,,,,,0.829970840918314,0.708541666666667
"CD74","apCAF",7.64345524826825,7.51510265034115,7.68331545073652,7.49776732262735,-0.128352597927102,0.190430263825524,-0.777777777777778,-0.0398959929687682,0.307780351204945,,0.428571428571429,0.419444444444444,6,,,,,0.409604718417165,0.708541666666667
"APOE","csCAF",9.74098994507157,9.53975588123923,9.67284959958347,9.51245519415719,-0.20123406383234,0.662520583540057,-0.333333333333333,-0.12980636691584,0.192784921659391,0.463859592092325,0.428571428571429,0.419444444444444,6,,,,,0.829970840918314,0.708541666666667
"PTGIS","apCAF",8.96426490772722,8.9698729761125,8.84308840627954,8.83854807459017,0.00560806838527128,1,-0.111111111111111,0.0125113256212756,0.876094303346487,0.953141103523083,0.371428571428571,0.497222222222222,6,,,,,1,0.708541666666667
"HLA-DPA1","apCAF",7.96518278956869,7.93170908263562,7.8823110255175,7.92931717107466,-0.0334737069330648,1,-0.111111111111111,-0.0111621449254944,0.842336618550539,,0.371428571428571,0.497222222222222,6,,,,,1,0.708541666666667
"ABCA8","csCAF",8.65804108759782,8.69543522548275,8.71535010858415,8.65992807272493,0.0373941378849345,1,0.111111111111111,0.025291261706144,0.760257728502987,0.899491177363871,-0.371428571428571,0.497222222222222,6,,,,,1,0.708541666666667
"HMGA1","iCAF",15.5759538975717,15.2462490321758,15.663226821444,15.2324853477439,-0.329704865395961,0.662520583540057,-0.333333333333333,-0.257127624552683,0.0159165732686494,0.0998661273119515,0.371428571428571,0.497222222222222,6,,,,,0.829970840918314,0.708541666666667
"KRT18","iCAF",14.3661144573181,14.5907587313444,14.3076425809611,14.5881593101087,0.22464427402633,0.190430263825524,0.777777777777778,0.168711539613485,0.0739674860820199,0.265945893276282,-0.371428571428571,0.497222222222222,6,,,,,0.409604718417165,0.708541666666667
"LIF","iCAF",9.70289842664864,9.92377345886048,9.56631102388516,9.97300590045689,0.220875032211833,0.382733088885226,0.555555555555556,0.176129047506265,0.103553778658885,0.325951324701039,-0.371428571428571,0.497222222222222,6,,,,,0.597692768944052,0.708541666666667
"CXCL12","iCAF",12.7292745833643,12.9131020713031,12.5616601512907,12.6772824413718,0.18382748793876,0.382733088885226,0.555555555555556,0.113270934348586,0.244388747130082,0.528033125373728,-0.371428571428571,0.497222222222222,6,,,,,0.597692768944052,0.708541666666667
