sample	view	Predictor	Target	Importance	Predictor_original
IU_PDA_T9	intra	Fibroblasts	KCNMA1	32.6136026064036	Fibroblasts
IU_PDA_T9	intra	Monocytes	KCNMA1	22.5827195575563	Monocytes
IU_PDA_T9	intra	B_cells	KCNMA1	2.2071893231724	B cells
IU_PDA_T9	intra	TAM	KCNMA1	12.3830142510053	TAM
IU_PDA_T9	intra	Endothelial_cells	KCNMA1	5.49960000686152	Endothelial cells
IU_PDA_T9	intra	PVL	KCNMA1	13.50713201727	PVL
IU_PDA_T9	intra	T_NK_cells	KCNMA1	3.76774994645938	T-NK cells
IU_PDA_T9	intra	Tumor_Epithelial_cells	KCNMA1	22.6782879880021	Tumor Epithelial cells
IU_PDA_T9	juxta_ct	Fibroblasts	KCNMA1	64.2780828727296	Fibroblasts
IU_PDA_T9	juxta_ct	Monocytes	KCNMA1	60.3533316683522	Monocytes
IU_PDA_T9	juxta_ct	B_cells	KCNMA1	4.49595126200297	B cells
IU_PDA_T9	juxta_ct	TAM	KCNMA1	44.2054352005309	TAM
IU_PDA_T9	juxta_ct	Endothelial_cells	KCNMA1	16.34025032812	Endothelial cells
IU_PDA_T9	juxta_ct	PVL	KCNMA1	19.4879694398819	PVL
IU_PDA_T9	juxta_ct	T_NK_cells	KCNMA1	13.7931864026547	T-NK cells
IU_PDA_T9	juxta_ct	Tumor_Epithelial_cells	KCNMA1	52.2855346056353	Tumor Epithelial cells
IU_PDA_T9	para_ct	Fibroblasts	KCNMA1	51.9848825355011	Fibroblasts
IU_PDA_T9	para_ct	Monocytes	KCNMA1	49.842107741606	Monocytes
IU_PDA_T9	para_ct	B_cells	KCNMA1	50.8312961826572	B cells
IU_PDA_T9	para_ct	TAM	KCNMA1	52.0843760841236	TAM
IU_PDA_T9	para_ct	Endothelial_cells	KCNMA1	49.2982440394417	Endothelial cells
IU_PDA_T9	para_ct	PVL	KCNMA1	50.5819829939103	PVL
IU_PDA_T9	para_ct	T_NK_cells	KCNMA1	53.7428346244179	T-NK cells
IU_PDA_T9	para_ct	Tumor_Epithelial_cells	KCNMA1	48.6094533202934	Tumor Epithelial cells
