orig.ident	gene	n_spots	n_genes_tested	positive_spots	C	Z	Pval	FDR	model	n_neighbors	error
IU_PDA_T10	KCNJ15	2714	13635	30.0	0.006389112446597447	0.7079681447225161	0.23948251992342917	0.4501739417898876	bernoulli	30	
IU_PDA_T4	KCNJ15	3621	14334	67.0	0.002115469247111601	0.3638435484128916	0.35798742061603583	0.44644089847835894	bernoulli	30	
IU_PDA_T6	KCNJ16	3397	15000	144.0	0.07118626043656075	12.158483139620406	2.5854964583705863e-34	9.843260628314414e-33	bernoulli	30	
IU_PDA_T2	KCNJ16	4118	14706	72.0	0.07331480127520669	11.964951947274438	2.711448701947211e-33	2.034416561777331e-31	bernoulli	30	
IU_PDA_T8	KCNJ16	3779	14218	147.0	0.044030532688202756	8.24223979786264	8.450819684036998e-17	3.9010959177804556e-15	bernoulli	30	
IU_PDA_T10	KCNJ16	2714	13635	8.0	0.05632699829381711	2.573172169257128	0.005038553218623753	0.05481014092202047	bernoulli	30	
IU_PDA_T11	KCNJ16	2777	14686	6.0	0.058008614202119786	2.064992393925584	0.019461859987087406	0.08666369792915879	bernoulli	30	
IU_PDA_T9	KCNJ16	3526	14113	7.0	0.042350531819137754	1.8137459223556387	0.03485842576124834	0.1591063915810148	bernoulli	30	
IU_PDA_T4	KCNJ16	3621	14334	6.0	0.03375114442409443	1.4387240316664898	0.07511436384638329	0.16329408075977347	bernoulli	30	
IU_PDA_T3	KCNJ16	4354	14668	5.0	0.03731133264010685	1.4287074711568974	0.0765441647777038	0.15098840895096277	bernoulli	30	
IU_PDA_T12	KCNJ16	3642	15208	18.0	0.013901378862753432	1.1773253467661566	0.11953283693499622	0.19215250509272946	bernoulli	30	
IU_PDA_T1	KCNJ16	3530	13524	20.0	0.009508498828642933	0.8720880287406386	0.191580178198403	0.42340458601412717	bernoulli	30	
IU_PDA_T12	KCNJ8	3642	15208	749.0	0.045388198912603483	10.393287637222963	1.3301107594703205e-25	1.86264497514039e-24	bernoulli	30	
IU_PDA_T3	KCNJ8	4354	14668	451.0	0.02603084003135003	6.589448382943994	2.2073183809462265e-11	1.4696752615396844e-10	bernoulli	30	
IU_PDA_T6	KCNJ8	3397	15000	518.0	0.021761225538820924	4.7370360495752575	1.084333000468866e-06	8.763467137410016e-06	bernoulli	30	
IU_PDA_T11	KCNJ8	2777	14686	219.0	0.009849120071703212	1.8203807043151223	0.03435052441406195	0.12888906528996266	bernoulli	30	
IU_PDA_T4	KCNJ8	3621	14334	111.0	0.0062889791097702425	1.2505768385298828	0.10554445261813439	0.2045530264776012	bernoulli	30	
IU_PDA_T10	KCNJ8	2714	13635	140.0	0.006054608764674173	1.0585225509430523	0.1449086376355857	0.36286117563131043	bernoulli	30	
IU_PDA_T1	KCNJ8	3530	13524	189.0	0.0009338441998504091	0.19094594293506692	0.4242839725342758	0.5949213524679675	bernoulli	30	
IU_PDA_T9	KCNJ8	3526	14113	347.0	-0.0007295511801218939	-0.16335884426127895	0.5648820474699071	0.7061901263125874	bernoulli	30	
IU_PDA_T8	KCNJ8	3779	14218	203.0	-0.0012395982276589544	-0.2705656889778677	0.6066374559973396	0.6829114290871081	bernoulli	30	
IU_PDA_T2	KCNJ8	4118	14706	294.0	-0.003640140725442143	-0.8687188956805203	0.8074995482204055	0.8574690126456266	bernoulli	30	
IU_PDA_T6	KCNK1	3397	15000	1621.0	0.06163700911451859	13.67896719430548	6.780253980654227e-43	3.3345511380266695e-41	bernoulli	30	
IU_PDA_T12	KCNK1	3642	15208	826.0	0.038084040607559495	8.603476246823643	3.866863230072919e-18	4.173687438108513e-17	bernoulli	30	
IU_PDA_T3	KCNK1	4354	14668	507.0	0.029637871489227828	7.263000389526876	1.8929842205712197e-13	1.3931907951499574e-12	bernoulli	30	
IU_PDA_T10	KCNK1	2714	13635	459.0	0.02087037946359264	4.026351443508429	2.8324500572000485e-05	0.0006896510094629046	bernoulli	30	
IU_PDA_T4	KCNK1	3621	14334	885.0	0.017539704159486264	3.941182297817832	4.054048709663445e-05	0.0002875345581608898	bernoulli	30	
