target_gene	orig.ident	n_spots	n_genes_after_filtering	n_spatial_genes_fdr_lt_0_05	n_genes_used_for_local_corr	hotspot_C	hotspot_Z	hotspot_FDR	error
KCNMB1	IU_PDA_T3	4354	14668	5788	423	0.01329177632255405	3.2431698460874854	0.0021180929069363197	
KCNMB4	IU_PDA_T3	4354	14668	5788	423	0.019421208613495458	4.80666047256963	3.846773301058413e-06	
KCNN3	IU_PDA_T3	4354	14668	5788	423	0.0025216268524516305	0.5113280115548445	0.40133827164599867	
KCNN4	IU_PDA_T3	4354	14668	5788	423	0.017329561291618275	4.0605030981902965	0.00010618705479115447	
KCNQ4	IU_PDA_T3	4354	14668	5788	423	0.004165714065862889	0.7613754004323248	0.32254346508576764	
KCNS3	IU_PDA_T3	4354	14668	5788	423	0.04061950495906011	10.087993215786664	3.238204263036097e-23	
KCNT2	IU_PDA_T3	4354	14668	5788	423	0.010294857853915948	1.0904969931457118	0.23331120420153284	
KCNA5	IU_PDA_T4	3621	14334	4313	424	0.03615373226369357	3.2644641844290256	0.0030103960370684688	
KCNA7	IU_PDA_T4	3621	14334	4313	424				Target gene unavailable in local correlation matrix
KCNAB1	IU_PDA_T4	3621	14334	4313	424	0.01251244833010123	1.1962585537526225	0.21808516869309166	
KCNAB2	IU_PDA_T4	3621	14334	4313	424	0.0047489182495622	1.0552707844721956	0.24851950543764784	
KCNB1	IU_PDA_T4	3621	14334	4313	424	0.031613812403947644	1.4118911857141576	0.1684906277936361	
KCNC4	IU_PDA_T4	3621	14334	4313	424	0.006736686146403135	1.4061902728538747	0.16949899375482214	
KCND2	IU_PDA_T4	3621	14334	4313	424	0.008249065467150504	1.0456409350892075	0.25046966181534763	
KCND3	IU_PDA_T4	3621	14334	4313	424	0.017947624563933978	2.2219710540483772	0.044918090529040555	
KCNE4	IU_PDA_T4	3621	14334	4313	424	0.005058277234446692	1.0229994998424636	0.2558934637856017	
KCNJ15	IU_PDA_T4	3621	14334	4313	424	0.002115469247111601	0.3638435484128916	0.44644089847835894	
KCNJ16	IU_PDA_T4	3621	14334	4313	424	0.03375114442409443	1.4387240316664898	0.16329408075977347	
KCNJ8	IU_PDA_T4	3621	14334	4313	424	0.0062889791097702425	1.2505768385298828	0.2045530264776012	
KCNK1	IU_PDA_T4	3621	14334	4313	424	0.017539704159486264	3.941182297817832	0.0002875345581608898	
KCNK15	IU_PDA_T4	3621	14334	4313	424	0.022739377908590472	1.6810781221237465	0.11772796096681888	
KCNK17	IU_PDA_T4	3621	14334	4313	424	0.009597199618648538	0.8905985532294147	0.28791609905650045	
KCNK3	IU_PDA_T4	3621	14334	4313	424	0.058610770638332046	8.317060482962354	9.588440417535832e-16	
KCNK6	IU_PDA_T4	3621	14334	4313	424	0.011449406342860758	2.5524801760448854	0.021557230737062453	
KCNMA1	IU_PDA_T4	3621	14334	4313	424	0.035694952152145264	7.125081135692223	8.618578078714226e-12	
KCNMB1	IU_PDA_T4	3621	14334	4313	424	0.05113005946474619	10.39094898836735	4.229257384767058e-24	
KCNMB4	IU_PDA_T4	3621	14334	4313	424	-0.004970514663200468	-1.0593230617823914	0.8663952419785648	
KCNN3	IU_PDA_T4	3621	14334	4313	424	0.013923302255322014	1.9024522114552584	0.08238366812570286	
KCNN4	IU_PDA_T4	3621	14334	4313	424	0.019077227438859472	4.242536388417398	8.599142945628165e-05	
KCNQ4	IU_PDA_T4	3621	14334	4313	424	5.742154495935417e-05	0.012099577717733016	0.5617023378373777	
KCNS3	IU_PDA_T4	3621	14334	4313	424	0.02336030750722654	5.271700043289948	7.213206906857702e-07	
KCNT2	IU_PDA_T4	3621	14334	4313	424	0.0034393066879034526	0.4343911398371196	0.4232226925530302	
KCNA5	IU_PDA_T6	3397	15000	5374	420	0.027622302175979732	1.6279995036186377	0.11139704916363195	
KCNA7	IU_PDA_T6	3397	15000	5374	420				Target gene unavailable in local correlation matrix
KCNAB1	IU_PDA_T6	3397	15000	5374	420	0.010231298548338175	1.3250430375682716	0.16836524972205147	
KCNAB2	IU_PDA_T6	3397	15000	5374	420	0.004062408934143637	0.8205074190654379	0.2907445663394864	
KCNB1	IU_PDA_T6	3397	15000	5374	420				Target gene unavailable in local correlation matrix
KCNC4	IU_PDA_T6	3397	15000	5374	420	0.0032160720902617364	0.6898931727193848	0.32768561374802296	
KCND2	IU_PDA_T6	3397	15000	5374	420	0.015795294643740045	3.4273090037336367	0.0015609294082724568	
KCND3	IU_PDA_T6	3397	15000	5374	420	0.004422453108329053	0.8538292429623648	0.2813123216476837	
KCNE4	IU_PDA_T6	3397	15000	5374	420	0.01500163692690279	3.1053753593038445	0.004273711261475127	
KCNJ15	IU_PDA_T6	3397	15000	5374	420	0.041130046112971136	8.686689077573442	3.706843959135159e-17	
KCNJ16	IU_PDA_T6	3397	15000	5374	420	0.07118626043656075	12.158483139620406	9.843260628314414e-33	
KCNJ8	IU_PDA_T6	3397	15000	5374	420	0.021761225538820924	4.7370360495752575	8.763467137410016e-06	
KCNK1	IU_PDA_T6	3397	15000	5374	420	0.06163700911451859	13.67896719430548	3.3345511380266695e-41	
KCNK15	IU_PDA_T6	3397	15000	5374	420	0.004251846977811567	0.6064348288225332	0.3522954728837286	
KCNK17	IU_PDA_T6	3397	15000	5374	420	0.012216540066876535	1.2769896976121873	0.1781030170265461	
KCNK3	IU_PDA_T6	3397	15000	5374	420	0.04286231912625828	6.574695318249721	3.125185547057766e-10	
KCNK6	IU_PDA_T6	3397	15000	5374	420	0.0009500049093939032	0.20295798036445015	0.48606548723213994	
KCNMA1	IU_PDA_T6	3397	15000	5374	420	0.03921955803945936	8.145969346478863	3.339545405454687e-15	
KCNMB1	IU_PDA_T6	3397	15000	5374	420	0.06582820767388427	12.788818975162926	3.977503714133278e-36	
KCNMB4	IU_PDA_T6	3397	15000	5374	420	-0.0009921644507484087	-0.1975988197669423	0.6239971092537672	
KCNN3	IU_PDA_T6	3397	15000	5374	420	0.016952761751521325	3.0118680062504244	0.005618410347067174	
KCNN4	IU_PDA_T6	3397	15000	5374	420	0.007521877439789353	1.5902374706261582	0.11773060728827404	
KCNQ4	IU_PDA_T6	3397	15000	5374	420	0.0035984273854664465	0.6562854145612164	0.3376201194829585	
KCNS3	IU_PDA_T6	3397	15000	5374	420	0.007269497719974875	1.5195416041256882	0.13022363399192918	
KCNT2	IU_PDA_T6	3397	15000	5374	420	0.01541454246287861	1.7617160673290502	0.09057185627991132	
KCNA5	IU_PDA_T8	3779	14218	2406	421				Target gene unavailable in local correlation matrix
KCNA7	IU_PDA_T8	3779	14218	2406	421				Target gene unavailable in local correlation matrix
KCNAB1	IU_PDA_T8	3779	14218	2406	421	0.02779195107467141	1.2771459811511643	0.25558758927230946	
KCNAB2	IU_PDA_T8	3779	14218	2406	421	0.011249823971690312	2.5303150843559097	0.03665803683459421	
KCNB1	IU_PDA_T8	3779	14218	2406	421				Target gene unavailable in local correlation matrix
KCNC4	IU_PDA_T8	3779	14218	2406	421	-0.004345950230397988	-0.9203697125435454	0.8458943607206468	
KCND2	IU_PDA_T8	3779	14218	2406	421	0.0007634990450945546	0.13266859463951977	0.5600391065024335	
KCND3	IU_PDA_T8	3779	14218	2406	421	0.00029771882292463966	0.05212957068361247	0.5861029274079643	
KCNE4	IU_PDA_T8	3779	14218	2406	421	0.014513047816347385	3.1150553914030037	0.008202125613071518	
KCNJ15	IU_PDA_T8	3779	14218	2406	421	0.01662786439178708	3.3122606825831715	0.0045441900910626765	
KCNJ16	IU_PDA_T8	3779	14218	2406	421	0.044030532688202756	8.24223979786264	3.9010959177804556e-15	
KCNJ8	IU_PDA_T8	3779	14218	2406	421	-0.0012395982276589544	-0.2705656889778677	0.6829114290871081	
KCNK1	IU_PDA_T8	3779	14218	2406	421	0.013357962171869261	3.0999937274761935	0.008561091370415094	
KCNK15	IU_PDA_T8	3779	14218	2406	421	0.028085897143733014	1.4791999583114042	0.20952756571684195	
KCNK17	IU_PDA_T8	3779	14218	2406	421	0.022603448279093996	2.4575880615423515	0.04310189885523975	
KCNK3	IU_PDA_T8	3779	14218	2406	421	0.02164730292489156	1.7648915316830394	0.14668362182831116	
KCNK6	IU_PDA_T8	3779	14218	2406	421	0.00469108851951412	0.9954411689942239	0.3195448664735115	
KCNMA1	IU_PDA_T8	3779	14218	2406	421	0.0034986641152713826	0.7609746497927813	0.37596409336651426	
KCNMB1	IU_PDA_T8	3779	14218	2406	421	0.004295508899324818	0.878672064279756	0.3460854034886865	
KCNMB4	IU_PDA_T8	3779	14218	2406	421	0.002653879634601002	0.4786737202161949	0.45662469244753	
KCNN3	IU_PDA_T8	3779	14218	2406	421	0.0019657098669016815	0.3148121627351448	0.5066648272152517	
KCNN4	IU_PDA_T8	3779	14218	2406	421	0.00887486800827919	2.0248701632591293	0.09852581854965364	
KCNQ4	IU_PDA_T8	3779	14218	2406	421	-0.0019791800291090434	-0.3211470852464265	0.6973644185066793	
KCNS3	IU_PDA_T8	3779	14218	2406	421	0.005512228336682708	1.1554184808098054	0.2844788852841026	
KCNT2	IU_PDA_T8	3779	14218	2406	421	0.015663670382475986	1.3909278737854152	0.22903767188602178	
KCNA5	IU_PDA_T9	3526	14113	2020	423	0.016333157396687475	1.1045443591642041	0.3403864935138577	
