CellType2	pathway	n_genes_in_matrix
myCAF	HALLMARK_G2M_CHECKPOINT	194
myCAF	HALLMARK_GLYCOLYSIS	196
myCAF	HALLMARK_HEDGEHOG_SIGNALING	35
myCAF	HALLMARK_HEME_METABOLISM	186
myCAF	HALLMARK_HYPOXIA	199
myCAF	HALLMARK_IL2_STAT5_SIGNALING	196
myCAF	HALLMARK_IL6_JAK_STAT3_SIGNALING	86
myCAF	HALLMARK_INFLAMMATORY_RESPONSE	198
myCAF	HALLMARK_INTERFERON_ALPHA_RESPONSE	96
myCAF	HALLMARK_INTERFERON_GAMMA_RESPONSE	196
myCAF	HALLMARK_KRAS_SIGNALING_DN	181
myCAF	HALLMARK_KRAS_SIGNALING_UP	197
myCAF	HALLMARK_MITOTIC_SPINDLE	198
myCAF	HALLMARK_MTORC1_SIGNALING	197
myCAF	HALLMARK_MYC_TARGETS_V1	184
myCAF	HALLMARK_MYC_TARGETS_V2	57
myCAF	HALLMARK_MYOGENESIS	188
myCAF	HALLMARK_NOTCH_SIGNALING	32
myCAF	HALLMARK_OXIDATIVE_PHOSPHORYLATION	200
myCAF	HALLMARK_P53_PATHWAY	191
myCAF	HALLMARK_PANCREAS_BETA_CELLS	39
myCAF	HALLMARK_PEROXISOME	103
myCAF	HALLMARK_PI3K_AKT_MTOR_SIGNALING	104
myCAF	HALLMARK_PROTEIN_SECRETION	96
myCAF	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	49
myCAF	HALLMARK_SPERMATOGENESIS	112
myCAF	HALLMARK_TGF_BETA_SIGNALING	54
myCAF	HALLMARK_TNFA_SIGNALING_VIA_NFKB	199
myCAF	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	108
myCAF	HALLMARK_UV_RESPONSE_DN	143
myCAF	HALLMARK_UV_RESPONSE_UP	154
myCAF	HALLMARK_WNT_BETA_CATENIN_SIGNALING	41
myCAF	HALLMARK_XENOBIOTIC_METABOLISM	193
csCAF	HALLMARK_ADIPOGENESIS	194
csCAF	HALLMARK_ALLOGRAFT_REJECTION	187
csCAF	HALLMARK_ANDROGEN_RESPONSE	97
csCAF	HALLMARK_ANGIOGENESIS	35
csCAF	HALLMARK_APICAL_JUNCTION	193
csCAF	HALLMARK_APICAL_SURFACE	41
csCAF	HALLMARK_APOPTOSIS	159
csCAF	HALLMARK_BILE_ACID_METABOLISM	107
csCAF	HALLMARK_CHOLESTEROL_HOMEOSTASIS	74
csCAF	HALLMARK_COAGULATION	130
csCAF	HALLMARK_COMPLEMENT	197
csCAF	HALLMARK_DNA_REPAIR	149
csCAF	HALLMARK_E2F_TARGETS	198
csCAF	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	199
csCAF	HALLMARK_ESTROGEN_RESPONSE_EARLY	198
csCAF	HALLMARK_ESTROGEN_RESPONSE_LATE	196
csCAF	HALLMARK_FATTY_ACID_METABOLISM	152
