CellType2	gene	row_label	pathway_label	delta_high_minus_low	padj_BH	direction	dot_size
csCAF	KCNE4	csCAF | KCNE4	PROTEIN SECRETION	0.00258788487220573	0.0266879848964142	KCN-high	1.57368421682345
csCAF	KCNE4	csCAF | KCNE4	HEDGEHOG SIGNALING	0.00243641581295485	0.0266879848964142	KCN-high	1.57368421682345
csCAF	KCNE4	csCAF | KCNE4	MTORC1 SIGNALING	0.00259459806840553	0.027509612785957	KCN-high	1.56051552251856
csCAF	KCNE4	csCAF | KCNE4	ANGIOGENESIS	0.00751503878762129	0.032629928870354	KCN-high	1.48638387292516
csCAF	KCNE4	csCAF | KCNE4	PI3K AKT MTOR SIGNALING	0.00222332015296704	0.0385572793840434	KCN-high	1.41389361766811
csCAF	KCNJ8	csCAF | KCNJ8	MTORC1 SIGNALING	0.00506689703516142	0.00088432571838541	KCN-high	3.05338774444043
csCAF	KCNJ8	csCAF | KCNJ8	ANGIOGENESIS	0.00723504375446839	0.00231895726675782	KCN-high	2.63470725437291
csCAF	KCNJ8	csCAF | KCNJ8	ANDROGEN RESPONSE	0.00392534137762208	0.00231895726675782	KCN-high	2.63470725437291
csCAF	KCNJ8	csCAF | KCNJ8	OXIDATIVE PHOSPHORYLATION	0.00954095573067268	0.00731198727801832	KCN-high	2.13596457289393
csCAF	KCNJ8	csCAF | KCNJ8	MYC TARGETS V1	0.00800122774014924	0.00731198727801832	KCN-high	2.13596457289393
csCAF	KCNJ8	csCAF | KCNJ8	PI3K AKT MTOR SIGNALING	0.0033533220413487	0.00731198727801832	KCN-high	2.13596457289393
csCAF	KCNJ8	csCAF | KCNJ8	REACTIVE OXYGEN SPECIES PATHWAY	0.00873972211740005	0.00763102227323677	KCN-high	2.11741727883584
csCAF	KCNJ8	csCAF | KCNJ8	ADIPOGENESIS	0.00385704661787221	0.00763102227323677	KCN-high	2.11741727883584
csCAF	KCNJ8	csCAF | KCNJ8	GLYCOLYSIS	0.00230750209624164	0.00763102227323677	KCN-high	2.11741727883584
csCAF	KCNJ8	csCAF | KCNJ8	MYOGENESIS	0.00296366922925689	0.00892200234319223	KCN-high	2.0495376670353
csCAF	KCNJ8	csCAF | KCNJ8	INTERFERON GAMMA RESPONSE	0.00414471441264085	0.0123947869556373	KCN-high	1.90676093358243
csCAF	KCNJ8	csCAF | KCNJ8	MITOTIC SPINDLE	-0.0024348209685114	0.0145487677814678	KCN-low	1.83717378800939
csCAF	KCNJ8	csCAF | KCNJ8	UNFOLDED PROTEIN RESPONSE	0.00306983701700171	0.0185181497084715	KCN-high	1.73240240920619
csCAF	KCNJ8	csCAF | KCNJ8	COMPLEMENT	0.00234068281149305	0.0186058249749613	KCN-high	1.73035106876901
csCAF	KCNJ8	csCAF | KCNJ8	INTERFERON ALPHA RESPONSE	0.00569044831212443	0.0202947024523881	KCN-high	1.69261731164077
csCAF	KCNJ8	csCAF | KCNJ8	PEROXISOME	0.00204590013155344	0.0322242580459626	KCN-high	1.4918170733618
csCAF	KCNJ8	csCAF | KCNJ8	XENOBIOTIC METABOLISM	0.00241124303238966	0.043412845185313	KCN-high	1.36238175049418
csCAF	KCNK6	csCAF | KCNK6	MYOGENESIS	0.0058897590575331	0.0341665879798743	KCN-high	1.46639838952142
csCAF	KCNK6	csCAF | KCNK6	CHOLESTEROL HOMEOSTASIS	0.00491966856320209	0.0341665879798743	KCN-high	1.46639838952142
csCAF	KCNK6	csCAF | KCNK6	OXIDATIVE PHOSPHORYLATION	0.0101400549065845	0.0396581915203773	KCN-high	1.40166709423128
csCAF	KCNK6	csCAF | KCNK6	PEROXISOME	0.00583837770232042	0.0396581915203773	KCN-high	1.40166709423128
csCAF	KCNK6	csCAF | KCNK6	EPITHELIAL MESENCHYMAL TRANSITION	0.0133696831721516	0.047289220599092	KCN-high	1.32523784378333
csCAF	KCNMB1	csCAF | KCNMB1	MYOGENESIS	0.00403279210299121	0.0052204084463937	KCN-high	2.28229551633196
csCAF	KCNMB1	csCAF | KCNMB1	KRAS SIGNALING DN	0.00197309342939087	0.0052204084463937	KCN-high	2.28229551633196
csCAF	KCNMB1	csCAF | KCNMB1	UV RESPONSE UP	-0.0029399689558349	0.0160146842023796	KCN-low	1.79548162087878
