pathway	n_patients	mean_low	mean_high	delta_high_minus_low	median_delta	p_value	padj_BH	CellType2	gene	n_deg_methods	pathway_label	direction	significant
HALLMARK_GLYCOLYSIS	4	0.0602784111710668	0.0611585679635551	0.000880156792488318	0.000152574346219687	0.855132140584706	0.929491457157289	csCAF	KCNA7	0	GLYCOLYSIS	KCN-high	FALSE
HALLMARK_APICAL_SURFACE	4	0.0525542764338199	0.0520089771879273	-0.000545299245892535	-0.000807439559717276	0.855132140584706	0.929491457157289	csCAF	KCNA7	0	APICAL SURFACE	KCN-low	FALSE
HALLMARK_PI3K_AKT_MTOR_SIGNALING	4	0.05405453548584	0.0539347827836528	-0.000119752702187172	0.000752138042132092	0.855132140584706	0.929491457157289	csCAF	KCNA7	0	PI3K AKT MTOR SIGNALING	KCN-low	FALSE
HALLMARK_SPERMATOGENESIS	4	0.0132900553049884	0.0132163085337376	-7.37467712508232e-05	-0.000900303118779594	0.855132140584706	0.929491457157289	csCAF	KCNA7	0	SPERMATOGENESIS	KCN-low	FALSE
HALLMARK_P53_PATHWAY	4	0.0657162879969885	0.0644391232994933	-0.00127716469749515	-0.00348758266801648	1	1	csCAF	KCNA7	0	P53 PATHWAY	KCN-low	FALSE
HALLMARK_KRAS_SIGNALING_UP	4	0.0452182205664735	0.0445493154899246	-0.000668905076548829	0.000437740167095996	1	1	csCAF	KCNA7	0	KRAS SIGNALING UP	KCN-low	FALSE
HALLMARK_NOTCH_SIGNALING	4	0.0452426472904605	0.0447624328874329	-0.000480214403027601	0.00039680230469704	1	1	csCAF	KCNA7	0	NOTCH SIGNALING	KCN-low	FALSE
HALLMARK_PANCREAS_BETA_CELLS	4	0.0616643567585761	0.0616392420071552	-2.51147514209755e-05	0.000114204463134683	1	1	csCAF	KCNA7	0	PANCREAS BETA CELLS	KCN-low	FALSE
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	4	0.22227589266479	0.235161694959809	0.0128858022950193	0.0108414565279402	0.100348246462291	0.559007280438122	csCAF	KCNAB2	0	EPITHELIAL MESENCHYMAL TRANSITION	KCN-high	FALSE
HALLMARK_APOPTOSIS	4	0.116724310419727	0.128012003515291	0.011287693095564	0.0125062035921376	0.100348246462291	0.559007280438122	csCAF	KCNAB2	0	APOPTOSIS	KCN-high	FALSE
HALLMARK_COAGULATION	4	0.123826557731699	0.134727598502327	0.0109010407706279	0.0131550002041072	0.201242620957724	0.559007280438122	csCAF	KCNAB2	0	COAGULATION	KCN-high	FALSE
HALLMARK_HYPOXIA	4	0.107165940758356	0.116166061372526	0.00900012061416976	0.00776970255855615	0.201242620957724	0.559007280438122	csCAF	KCNAB2	0	HYPOXIA	KCN-high	FALSE
HALLMARK_PROTEIN_SECRETION	4	0.0693755521902843	0.0764734739059868	0.0070979217157025	0.0088431696895979	0.201242620957724	0.559007280438122	csCAF	KCNAB2	0	PROTEIN SECRETION	KCN-high	FALSE
HALLMARK_APICAL_SURFACE	4	0.0536566887977641	0.0607183479814047	0.00706165918364061	0.0068492351793868	0.100348246462291	0.559007280438122	csCAF	KCNAB2	0	APICAL SURFACE	KCN-high	FALSE
HALLMARK_MYOGENESIS	4	0.086460509237604	0.0928352154961911	0.0063747062585871	0.00608990124494911	0.201242620957724	0.559007280438122	csCAF	KCNAB2	0	MYOGENESIS	KCN-high	FALSE
HALLMARK_INTERFERON_GAMMA_RESPONSE	4	0.0868164177853937	0.0927082354806134	0.0058918176952197	0.00343793107442645	0.201242620957724	0.559007280438122	csCAF	KCNAB2	0	INTERFERON GAMMA RESPONSE	KCN-high	FALSE
HALLMARK_ANDROGEN_RESPONSE	4	0.0718011288463377	0.0768412532216495	0.00504012437531177	0.00445053739128534	0.100348246462291	0.559007280438122	csCAF	KCNAB2	0	ANDROGEN RESPONSE	KCN-high	FALSE
HALLMARK_OXIDATIVE_PHOSPHORYLATION	4	0.124829734113282	0.129357757181029	0.00452802306774632	0.00569327050823973	0.100348246462291	0.559007280438122	csCAF	KCNAB2	0	OXIDATIVE PHOSPHORYLATION	KCN-high	FALSE
HALLMARK_COMPLEMENT	4	0.0776686121572022	0.0818998577141978	0.0042312455569956	0.00304079796489207	0.201242620957724	0.559007280438122	csCAF	KCNAB2	0	COMPLEMENT	KCN-high	FALSE
HALLMARK_PANCREAS_BETA_CELLS	4	0.0512132621805049	0.055403289412638	0.00419002723213316	0.0023877532268219	0.100348246462291	0.559007280438122	csCAF	KCNAB2	0	PANCREAS BETA CELLS	KCN-high	FALSE
