gene	Origin	first_type	n_spots	n_positive	pct_detected	mean_expression_all_spots	mean_positive_expression	median_positive_expression	mean_positive_expression_plot
KCNJ16	Pancreas	PVL	143	0	0	0	NA	NA	0
KCNJ16	Pancreas	Hepatocytes	0	0	0	0	NA	NA	0
KCNJ16	Pancreas	C1Q-TAM	102	0	0	0	NA	NA	0
KCNJ16	Pancreas	CD4+ cells	89	0	0	0	NA	NA	0
KCNJ16	Pancreas	FCN1-TAM	71	0	0	0	NA	NA	0
KCNJ16	Pancreas	CD8-NK cells	7	0	0	0	NA	NA	0
KCNJ16	Pancreas	Proliferative T cells	4	0	0	0	NA	NA	0
KCNJ16	Pancreas	Endothelial cells	1	0	0	0	NA	NA	0
KCNJ8	Normal Pancreas	myCAF	0	0	0	0	NA	NA	0
KCNJ8	Normal Pancreas	Normal Epithelial cells	9707	5307	54.6718862676419	1.16184196971258	2.12511776898436	2	2.12511776898436
KCNJ8	Normal Pancreas	Tumor Epithelial cells	3	0	0	0	NA	NA	0
KCNJ8	Normal Pancreas	iCAF	0	0	0	0	NA	NA	0
KCNJ8	Normal Pancreas	B cells	0	0	0	0	NA	NA	0
KCNJ8	Normal Pancreas	DCs	0	0	0	0	NA	NA	0
KCNJ8	Normal Pancreas	SPP1-TAM	0	0	0	0	NA	NA	0
KCNJ8	Normal Pancreas	PVL	0	0	0	0	NA	NA	0
KCNJ8	Normal Pancreas	Hepatocytes	108	106	98.1481481481482	4.35185185185185	4.43396226415094	4	4.43396226415094
KCNJ8	Normal Pancreas	C1Q-TAM	1	0	0	0	NA	NA	0
KCNJ8	Normal Pancreas	CD4+ cells	0	0	0	0	NA	NA	0
KCNJ8	Normal Pancreas	FCN1-TAM	0	0	0	0	NA	NA	0
