gene	Origin	cc_ischia_10	n_positive	n_spots	pct_detected
KCNN4	Normal Pancreas	CC5	0	0	0
KCNN4	Normal Pancreas	CC6	0	0	0
KCNN4	Normal Pancreas	CC7	0	21	0
KCNN4	Normal Pancreas	CC8	0	0	0
KCNN4	Normal Pancreas	CC9	0	0	0
KCNN4	Normal Pancreas	CC10	22	9707	0.22664056866179
KCNN4	Pancreas	CC1	477	8639	5.52147239263804
KCNN4	Pancreas	CC2	960	5063	18.9610902626901
KCNN4	Pancreas	CC3	996	3317	30.0271329514622
KCNN4	Pancreas	CC4	1147	7976	14.3806419257773
KCNN4	Pancreas	CC5	872	7164	12.1719709659408
KCNN4	Pancreas	CC6	0	0	0
KCNN4	Pancreas	CC7	69	2572	2.68273716951788
KCNN4	Pancreas	CC8	0	0	0
KCNN4	Pancreas	CC9	25	726	3.4435261707989
KCNN4	Pancreas	CC10	0	1	0
KCNQ4	Normal Pancreas	CC1	0	0	0
KCNQ4	Normal Pancreas	CC2	2	53	3.77358490566038
KCNQ4	Normal Pancreas	CC3	0	36	0
KCNQ4	Normal Pancreas	CC4	0	3	0
KCNQ4	Normal Pancreas	CC5	0	0	0
KCNQ4	Normal Pancreas	CC6	0	0	0
KCNQ4	Normal Pancreas	CC7	0	21	0
KCNQ4	Normal Pancreas	CC8	0	0	0
KCNQ4	Normal Pancreas	CC9	0	0	0
KCNQ4	Normal Pancreas	CC10	197	9707	2.02946327392603
KCNQ4	Pancreas	CC1	114	8639	1.31959717559903
KCNQ4	Pancreas	CC2	205	5063	4.04898281651195
KCNQ4	Pancreas	CC3	157	3317	4.73319264395538
KCNQ4	Pancreas	CC4	205	7976	2.57021063189569
KCNQ4	Pancreas	CC5	174	7164	2.42881072026801
KCNQ4	Pancreas	CC6	0	0	0
KCNQ4	Pancreas	CC7	37	2572	1.43856920684292
KCNQ4	Pancreas	CC8	0	0	0
KCNQ4	Pancreas	CC9	6	726	0.826446280991736
KCNQ4	Pancreas	CC10	0	1	0
KCNS3	Normal Pancreas	CC1	0	0	0
KCNS3	Normal Pancreas	CC2	2	53	3.77358490566038
KCNS3	Normal Pancreas	CC3	3	36	8.33333333333333
KCNS3	Normal Pancreas	CC4	1	3	33.3333333333333
KCNS3	Normal Pancreas	CC5	0	0	0
KCNS3	Normal Pancreas	CC6	0	0	0
KCNS3	Normal Pancreas	CC7	0	21	0
KCNS3	Normal Pancreas	CC8	0	0	0
KCNS3	Normal Pancreas	CC9	0	0	0
KCNS3	Normal Pancreas	CC10	1078	9707	11.1053878644277
KCNS3	Pancreas	CC1	1235	8639	14.2956360689895
KCNS3	Pancreas	CC2	683	5063	13.4900256764764
KCNS3	Pancreas	CC3	421	3317	12.6921917395237
KCNS3	Pancreas	CC4	1087	7976	13.6283851554664
KCNS3	Pancreas	CC5	1114	7164	15.5499720826354
KCNS3	Pancreas	CC6	0	0	0
KCNS3	Pancreas	CC7	189	2572	7.34836702954899
KCNS3	Pancreas	CC8	0	0	0
KCNS3	Pancreas	CC9	18	726	2.47933884297521
KCNS3	Pancreas	CC10	0	1	0
KCNT2	Normal Pancreas	CC1	0	0	0
KCNT2	Normal Pancreas	CC2	0	53	0
KCNT2	Normal Pancreas	CC3	0	36	0
KCNT2	Normal Pancreas	CC4	0	3	0
KCNT2	Normal Pancreas	CC5	0	0	0
KCNT2	Normal Pancreas	CC6	0	0	0
KCNT2	Normal Pancreas	CC7	0	21	0
KCNT2	Normal Pancreas	CC8	0	0	0
KCNT2	Normal Pancreas	CC9	0	0	0
KCNT2	Normal Pancreas	CC10	33	9707	0.339960852992686
KCNT2	Pancreas	CC1	88	8639	1.01863641625188
KCNT2	Pancreas	CC2	23	5063	0.45427612087695
KCNT2	Pancreas	CC3	20	3317	0.602954476936991
KCNT2	Pancreas	CC4	50	7976	0.626880641925777
KCNT2	Pancreas	CC5	61	7164	0.851479620323841
KCNT2	Pancreas	CC6	0	0	0
KCNT2	Pancreas	CC7	22	2572	0.855365474339036
KCNT2	Pancreas	CC8	0	0	0
KCNT2	Pancreas	CC9	3	726	0.413223140495868
KCNT2	Pancreas	CC10	0	1	0
