target_gene	gene	n_sections	mean_delta	median_delta
SIGMAR1	XRCC5	10	0.0204136440599907	-0.013439570263417
SIGMAR1	SCG3	10	0.0203681769754828	0.000857446666572201
SIGMAR1	QARS	10	0.0203184298775928	-0.0085157182721991
SIGMAR1	URM1	10	0.0203018393775119	0.0133427934817288
SIGMAR1	NOC3L	10	0.0202987740935901	0.0135844768495241
SIGMAR1	DACT3	10	0.0202316111808072	0.00346370736453661
SIGMAR1	B4GALNT3	10	0.0202001231906108	-0.00280857412965816
SIGMAR1	SLC7A5	10	0.0201529228879372	0.00256769637962491
SIGMAR1	ZNF552	10	0.0201159920962778	0.0199214556249589
SIGMAR1	DAPK3	10	0.0200739363577529	0.00532923911569874
SIGMAR1	AKR1C1	10	0.0200672747985298	0.0126728305391022
SIGMAR1	CAMK1D	10	0.0200358665960756	0.0242749603815233
SIGMAR1	RPRD1B	10	0.0200334745800738	0.0202480934975614
SIGMAR1	SYTL1	10	0.0200101038564044	0.00546795271482016
SIGMAR1	MYO18A	10	0.0200012116413331	0.00793145391563533
SIGMAR1	WDR20	10	0.0199968240833782	-0.00533146346685776
SIGMAR1	CCDC30	10	0.0199696109186516	0.0169513582260484
SIGMAR1	MUC16	10	0.0199640557343888	0.0019342089932961
SIGMAR1	CHUK	10	0.0199532280088336	0.0187925637000156
SIGMAR1	STOML2	10	0.0199488467738528	0.0180532091395844
SIGMAR1	NOM1	10	0.0199448614986942	-0.00811085870441636
SIGMAR1	TNXB	10	0.0199408811099011	0.02621985132759
SIGMAR1	OBSCN	10	0.0199341495309883	0.0152376349685899
SIGMAR1	BRSK1	10	0.0199059027198946	0.015380738601211
SIGMAR1	NDUFS6	10	0.0198977665429743	0.0139724231606197
SIGMAR1	PRPF18	10	0.0198934293871967	0.0207582964719156
SIGMAR1	POLDIP2	10	0.0198919498544683	0.027211548069864
SIGMAR1	PIGX	10	0.0198482821733498	0.0132209851973983
SIGMAR1	ZNF174	10	0.0198229356311307	0.0213596563722641
SIGMAR1	ZCCHC14	10	0.0197870048498546	-0.0122181603493945
SIGMAR1	CRIP2	10	0.0197768405977869	0.011258948641912
SIGMAR1	PRXL2A	10	0.0197243267076797	-0.0192067582617037
SIGMAR1	CCL28	10	0.0196784371331963	0.00453447142451078
SIGMAR1	ZNF652	10	0.0196524183419306	0.0129596247223995
SIGMAR1	H2AFX	10	0.0194898827854154	0.0291818220288475
SIGMAR1	TM2D3	10	0.0194880936812778	0.0153714796798416
SIGMAR1	AP1S3	10	0.0194769270443943	0.0133310901838722
SIGMAR1	CDK18	10	0.0194514357336763	-0.00700845362115568
SIGMAR1	PDS5A	10	0.0194234074267997	0.00807536836570534
SIGMAR1	FLAD1	10	0.0194018210216899	0.00955409662789755
SIGMAR1	SNRK	10	0.0193994877933982	0.00913043128940826
