gene	n_sections_tested	n_sections_delta_gt_0	n_sections_delta_lt_0	mean_delta	median_delta	wilcox_p	wilcox_fdr
TBC1D8B	10	3	7	-0.000330810561970368	-0.00780702467724551	0.153576396549984	0.639760209321045
OR2T11	10	0	2	-0.000330993878419617	0	0.371093369522698	0.801438715296161
COX5B	10	4	6	-0.000331016177239785	-0.0194693210784902	1	1
OR2J2	10	0	2	-0.000331115979734832	0	0.371093369522698	0.801438715296161
OR51F1	10	0	2	-0.000331185951187567	0	0.371093369522698	0.801438715296161
OR5D3P	10	0	2	-0.00033176775503312	0	0.371093369522698	0.801438715296161
FNDC9	10	0	3	-0.00033180315832415	0	0.18144920772142	0.639760209321045
MTRNR2L11	10	0	2	-0.000332598015418504	0	0.371093369522698	0.801438715296161
PLAC1	10	0	3	-0.00033270096792324	0	0.18144920772142	0.639760209321045
GCSAML-AS1	10	0	3	-0.000333267705712955	0	0.18144920772142	0.639760209321045
OR6V1	10	0	3	-0.000333267705712955	0	0.18144920772142	0.639760209321045
AL354761.1	10	0	3	-0.000334079840558315	0	0.18144920772142	0.639760209321045
ATP12A	10	0	3	-0.00033424062518075	0	0.18144920772142	0.639760209321045
SP7	10	0	3	-0.000334660429060959	0	0.18144920772142	0.639760209321045
FSHR	10	0	3	-0.000334755347314509	0	0.18144920772142	0.639760209321045
OR5H6	10	0	3	-0.000335380015248741	0	0.18144920772142	0.639760209321045
MBD5	10	5	5	-0.00033603958857508	-0.00169023755161079	1	1
KCNH1	10	0	2	-0.00033775209377154	0	0.371093369522698	0.801438715296161
CLDN19	10	0	3	-0.000338109807395392	0	0.18144920772142	0.639760209321045
ZNF575	10	2	8	-0.000338406243350902	-0.00377202755996281	0.185143724157873	0.639760209321045
TNFAIP8L2	10	2	8	-0.000339427825315817	-0.00749689380730177	0.414823067184775	0.801438715296161
SMCO1	10	0	3	-0.000339465341348763	0	0.18144920772142	0.639760209321045
KRTAP15-1	10	0	3	-0.000339900764972876	0	0.18144920772142	0.639760209321045
SPATA4	10	0	3	-0.000339904895403272	0	0.18144920772142	0.639760209321045
ZSWIM9	10	4	6	-0.000340171610648689	-0.008557594410046	1	1
FLRT1	10	1	3	-0.000340277347945326	0	0.201242620957724	0.690320734028443
PDE6C	10	0	3	-0.000340377912227799	0	0.18144920772142	0.639760209321045
TRAV34	10	0	2	-0.000340801884388125	0	0.371093369522698	0.801438715296161
SGPL1	10	3	7	-0.000341506492509522	-0.017401607950161	0.683480902201426	0.943844307269161
MPO	10	0	3	-0.000341556115576065	0	0.18144920772142	0.639760209321045
PNLIPRP3	10	0	2	-0.000341639514866774	0	0.371093369522698	0.801438715296161
C17orf78	10	0	2	-0.000341639514866774	0	0.371093369522698	0.801438715296161
CES5A	10	0	3	-0.000342201099047313	0	0.18144920772142	0.639760209321045
AC021072.1	10	0	2	-0.000342788362966087	0	0.371093369522698	0.801438715296161
GARS	10	4	6	-0.000343283957929282	-0.00453201363288506	0.540817904242618	0.885858208708872
CLEC6A	10	1	8	-0.000343433744827445	-0.0014890646428839	0.123534253752569	0.5991146130562
SNX32	10	0	2	-0.000343546464464498	0	0.371093369522698	0.801438715296161
MBL2	10	0	3	-0.000343718082510684	0	0.18144920772142	0.639760209321045
GLYATL1	10	0	2	-0.000344687016852856	0	0.371093369522698	0.801438715296161
NAT10	10	4	6	-0.000345370817255352	-0.0100016537854223	0.918812683274642	1
