gene	baseMean	log2FC	lfcSE	stat	pvalue	padj
CISD3	20.7230782982285	-0.733037095759413	0.0992291656909046	-7.38731491548359	1.49823467335084e-13	1.97779514410958e-12
PYURF	53.4622559124898	-0.631119809891138	0.0854974734710004	-7.38173637499598	1.56238325274957e-13	2.06032148899683e-12
SEPTIN9	20.9179873720559	-0.745871188912491	0.101078001976178	-7.37916435158935	1.59286105791583e-13	2.09832009925864e-12
LRRC17	11.824315433971	1.41368260371792	0.191637010238539	7.37687674191037	1.62045897709098e-13	2.13244966536894e-12
FUT8	9.69003118926436	1.30045285077942	0.176293283876771	7.37664431782003	1.62328911493505e-13	2.13394881567503e-12
LATS2	13.6384964583402	0.91667972094485	0.124300119429706	7.37472920501297	1.64679432128985e-13	2.16259566437856e-12
MDH1	41.846704281786	-0.693839610605329	0.0941297244286931	-7.37109998798455	1.6922585687399e-13	2.2199899311328e-12
WFDC1	8.71769710290058	-2.59322296114786	0.352021197266751	-7.36666706801407	1.74946662746046e-13	2.2926551234217e-12
LARP7	32.600708478144	-0.586576377945536	0.0796838156563573	-7.36129881725534	1.82129348682328e-13	2.38430744851761e-12
ABCA10	5.35834743466532	2.0459698743115	0.278028558286656	7.3588479072788	1.85504237891749e-13	2.42597252040816e-12
CCL19	247.960025924533	-3.82726872238826	0.52049530902549	-7.35312817622499	1.93621102192133e-13	2.52950135576058e-12
ZNF469	2.93132941578792	2.98717436175533	0.406405094700904	7.35023847069081	1.97853543557714e-13	2.58212173702001e-12
NDUFA7	29.1607986913885	-0.683482606233321	0.0929980268844371	-7.34943126355404	1.99051982642232e-13	2.59507853403405e-12
SIRPA	4.02042094553452	1.62432434703801	0.221027431542846	7.34897173486422	1.99737415308592e-13	2.60132732837403e-12
GLI3	8.83838464350413	1.20251386623461	0.16364745184808	7.34819792581282	2.00896871902521e-13	2.61373043650496e-12
CHMP4A	21.6645628451618	-0.731917338872855	0.0997406798091634	-7.33820283031209	2.16480933096176e-13	2.81358329111611e-12
TTYH3	8.66193088023002	1.43226220149171	0.195280684353354	7.33437721316089	2.2275488305126e-13	2.89214673262027e-12
SMIM10	12.9628412412344	-1.27088324078171	0.17339919796321	-7.32923367414507	2.3147248114273e-13	3.00224328059739e-12
SERPINE2	29.1905300373179	1.63810491399975	0.223814111137951	7.31904215364723	2.49747143681771e-13	3.23594348384389e-12
ANP32A	24.6946241728116	-0.753915436889339	0.103040048793097	-7.31672243676041	2.54100669498444e-13	3.28897481955935e-12
ARMC9	3.855334003663	1.52743087169573	0.20877719602517	7.31608097424385	2.55317633432182e-13	3.3013407109776e-12
HSD17B14	3.42447725789624	2.10001223800515	0.287274305124032	7.31012903189674	2.66885977943688e-13	3.44739103546504e-12
DDX39A	14.5553823108986	-0.832121032106825	0.113852062586576	-7.30879189363881	2.69554858834457e-13	3.47830502913175e-12
USP22	23.3083097138503	0.687463979724793	0.0941029817241794	7.30544311273563	2.76354484166093e-13	3.5624040757672e-12
IDH3G	25.1565432648291	-0.845648150035647	0.115865336693879	-7.29854306875131	2.90900393195404e-13	3.74608465523061e-12
VDR	3.30450546225529	2.9961740907573	0.411037575670677	7.2892948676737	3.11581444459707e-13	4.00784771939024e-12
LMO4	37.2623496616148	0.760534404233727	0.104337538757931	7.28917332426453	3.1186263553417e-13	4.00784771939024e-12
BCL7B	11.502934942029	-0.996496500732997	0.136747737224391	-7.28711509937336	3.16662366388953e-13	4.06539070582765e-12
CD151	84.9867597908764	-0.807918599871792	0.110895912807393	-7.28537760697282	3.20770571746638e-13	4.10977118319043e-12
UQCR11	201.871183024531	-0.532875736575879	0.073142415862948	-7.28545441504646	3.20587862456816e-13	4.10977118319043e-12
KCNE4	45.7257170140646	-1.20599551518923	0.165571542034822	-7.28383332285201	3.24465854216202e-13	4.15289967566782e-12
FGD6	3.17434457997323	1.95713678441527	0.268863518293956	7.27929470250955	3.35569908067785e-13	4.29067096232569e-12
GLG1	35.2837227081713	0.538067527750898	0.0740027192264092	7.27091562817706	3.57058915620315e-13	4.56081327442143e-12
SLC39A13	13.0534927765508	0.915883780547481	0.125990641518097	7.2694588225898	3.60930521153433e-13	4.60560483008728e-12
MMP19	16.569487624608	1.48021212028366	0.203643134960787	7.26865710729058	3.63078715348884e-13	4.62833675525547e-12
CACNB2	2.95058791287999	-2.61908826340118	0.360460247402066	-7.26595590575563	3.7040940994953e-13	4.71701993295971e-12
PIK3R1	29.0913276118747	0.834984000202241	0.114930953715953	7.26509241597234	3.72783317832406e-13	4.74246519258565e-12
SLC39A10	8.08932645136093	1.01337977793336	0.139521936213745	7.26322903361147	3.77957157239725e-13	4.80344342836388e-12
KDSR	20.5349284435108	0.738675016504488	0.101746841025394	7.25993071686745	3.8728864377289e-13	4.9170851955874e-12
TSPAN2	3.80566672122869	2.87990343861925	0.396885430795177	7.2562588978115	3.97943074896114e-13	5.04727799516478e-12
NDUFB4	128.992008716819	-0.51641169000557	0.0711908584587358	-7.25390452068921	4.04925613770311e-13	5.13068398170815e-12
MRTFB	9.39545159197281	-1.1569701162625	0.159528213472078	-7.25244827282542	4.0930458393103e-13	5.18096674945798e-12
XRCC5	50.1771589608149	-0.517138868223664	0.0713092432020352	-7.25205941056607	4.1048174669874e-13	5.19066096526864e-12
KIF22	13.8838003788771	-0.822301045790128	0.1133937315904	-7.25173282735272	4.11472946483801e-13	5.19798657119676e-12
GALNT1	16.8959909692604	1.16841594209505	0.161130653430216	7.25135731297134	4.12615560466499e-13	5.20720837308722e-12
LPAR1	4.16304145136712	2.54237530048328	0.350780179588327	7.24777353004093	4.23678236024253e-13	5.3414778607653e-12
AXIN2	5.57477664296888	1.51636031538786	0.2094607915762	7.23935159404866	4.50834895569696e-13	5.67818002204548e-12
PPA2	14.3035886620735	-0.972353484837748	0.134363677137511	-7.23672874658393	4.59636132624674e-13	5.78325821906619e-12
SFRP1	9.24640921326706	4.11901955806747	0.569381319753205	7.23420213338371	4.6827389103304e-13	5.88021542769847e-12
SOX5	4.86927307960544	-1.51812615867912	0.209851088634511	-7.23430204035384	4.67929331250102e-13	5.88021542769847e-12
PFN1	295.689290712023	-0.536227770029482	0.0742567496170955	-7.22126638715723	5.15056439096213e-13	6.46124479263838e-12
EBF2	9.84913447409779	-1.70280118036889	0.23592199577465	-7.21764486086912	5.28956364997759e-13	6.62902614326883e-12
CCN1	382.981274980432	1.44609122667022	0.200491423390986	7.21273360332298	5.48396374324747e-13	6.86583555950228e-12
CALHM2	12.7284074578004	-1.18470302224804	0.164355589192707	-7.20816996895053	5.67088191596547e-13	7.09281761937406e-12
LAMTOR5	89.7912551374498	-0.449708098598935	0.0623994945088027	-7.20691893642654	5.72320506480209e-13	7.15117306116855e-12
NEK6	5.36125491007861	1.59223008162305	0.220981220239736	7.20527328021668	5.79275529709295e-13	7.23091709686577e-12
ARFGAP1	7.86884369550811	1.22378626710261	0.16987519929891	7.20403138394118	5.84579018612339e-13	7.28990831510644e-12
LRIG1	8.68910857549227	1.02547438171551	0.14236422264755	7.20317480505104	5.88264767348158e-13	7.3286291845348e-12
ACTA2	877.129495905421	-1.14932302055595	0.159672898910849	-7.19798430663968	6.1109175712654e-13	7.60550096147626e-12
SLC6A9	2.74809215182861	-2.79660903543644	0.388564501779345	-7.19728390686745	6.14237840893062e-13	7.63712468184281e-12
UQCRC1	31.894062554528	-0.756192899956264	0.105071225790816	-7.19695515365691	6.15720025812364e-13	7.64801843085831e-12
TWIST1	12.2548252001143	1.43758931390929	0.199810487040958	7.1947640746935	6.25688586682123e-13	7.76419858793352e-12
SSBP1	65.632831947834	-0.426349910675076	0.0592830595818414	-7.1917663103486	6.39584342977336e-13	7.92883537168368e-12
EZR	22.8758996883512	-1.05871790863821	0.147238492458502	-7.19049679849582	6.45559910707693e-13	7.99505993437791e-12
HAS2	4.95934404774475	2.21054210027096	0.307872469255582	7.18005772200392	6.9681993015413e-13	8.62143874367169e-12
YBX1	232.815831341986	-0.527781534420347	0.0735589655726596	-7.17494502963094	7.23362448986627e-13	8.94107160255752e-12
RAB23	8.57961425084941	1.1015694543762	0.153534643550921	7.17472896604504	7.24505732449662e-13	8.94644064923164e-12
CCN2	370.815497446083	1.69109913807037	0.235753540947573	7.17316537971507	7.32832355656283e-13	9.04041478825248e-12
PKIG	45.4083959068911	-0.990564762930473	0.138140331157302	-7.17071368391689	7.46077937072319e-13	9.19482770102799e-12
CALD1	1104.33460411749	-0.49776617847747	0.0694335277726455	-7.16895993110655	7.55696686457723e-13	9.30428505667948e-12
PRR16	23.8920776782751	-1.46903500214275	0.204980867137684	-7.16669327560219	7.68309040823554e-13	9.45035096997393e-12
NUTF2	23.680506694816	-0.722276329196833	0.100868642023952	-7.1605636271511	8.03460271858727e-13	9.87309506412574e-12
