orig.ident	gene	positive_spots	combinedPval	adjustedPval	best_kernel	best_kernel_stat	best_kernel_pval	available_in_section	n_spots	n_genes_tested
IU_PDA_T4	KCNJ8	111	1.6140130656427942e-6	2.9199190554842175e-5	projection	30.575414596521778	1.467314443675985e-7	TRUE	3621	17893
IU_PDA_T6	KCNJ8	518	2.3619214362113894e-9	4.1628452126448194e-8	projection	38.644960851368744	2.1472025525604126e-10	TRUE	3397	17893
IU_PDA_T8	KCNJ8	203	5.115630141716565e-10	1.0223360943292482e-8	projection	45.15200338762105	4.650567948115389e-11	TRUE	3779	17893
IU_PDA_T9	KCNJ8	347	8.434831843207036e-6	3.5769187273478173e-4	gaus2	25.895623841297155	4.951256608265453e-6	TRUE	3526	17893
IU_PDA_T1	KCNK1	172	3.373686774388318e-9	9.500039259031804e-8	gaus2	40.534376385966524	6.095567262059662e-10	TRUE	3530	17893
IU_PDA_T10	KCNK1	459	1.2614620459316939e-10	8.0721541141858e-9	projection	43.512091332426756	1.1606084168415033e-11	TRUE	2714	17893
IU_PDA_T11	KCNK1	466	1.0658141036401503e-14	4.771171965420361e-13	projection	60.0363877075486	9.875265623634611e-16	TRUE	2777	17893
IU_PDA_T12	KCNK1	826	2.7407098649705858e-45	8.690968177075813e-44	gaus4	172.1367137547725	4.6130756175722304e-46	TRUE	3642	17893
IU_PDA_T2	KCNK1	569	3.3306690738754696e-16	2.2784114261353805e-14	projection	66.63948794690981	3.054036607594851e-17	TRUE	4118	17893
IU_PDA_T3	KCNK1	507	1.2196436169190924e-31	1.049479450932668e-29	projection	131.93503283628408	1.1087669244719022e-32	TRUE	4354	17893
IU_PDA_T4	KCNK1	885	2.859253986112533e-51	3.0721674763605353e-49	projection	205.2249173381823	2.599321805556848e-52	TRUE	3621	17893
IU_PDA_T6	KCNK1	1621	2.3868238151018184e-111	6.63969594739653e-109	projection	344.0357954429585	2.169839831910744e-112	TRUE	3397	17893
IU_PDA_T8	KCNK1	855	1.346383355605026e-28	6.012082110491762e-27	projection	109.01670395918526	1.2239848687318418e-29	TRUE	3779	17893
IU_PDA_T9	KCNK1	297	0.0043773866883510815	0.0923933223813866	gaus3	11.999078460327462	0.0015163950267995663	TRUE	3526	17893
IU_PDA_T1	KCNK15	7	0.10989451112812831	1	cos1	10.512716113000009	0.0051636171462661196	TRUE	3530	17893
IU_PDA_T10	KCNK15	23	0.18016855716215385	1	cos5	6.665024800742105	0.034711316252741264	TRUE	2714	17893
IU_PDA_T11	KCNK15	26	0.04375242603414253	0.6493032775523617	gaus5	8.152358408655001	0.016358840367094007	TRUE	2777	17893
IU_PDA_T12	KCNK15	36	0.43721346911329506	1	cos5	4.679464707485142	0.09414300451749791	TRUE	3642	17893
