target_gene	measure	mean	sd	cv
KCNB1	intra.R2	0.00320404351388153	0.00847710232756005	2.64575131106459
KCNB1	intra.RMSE	0.0465252882819434	0.0296912876815322	0.638175254317671
KCNB1	multi.R2	0.386573543595675	1.0208472407989	2.64075816286752
KCNB1	multi.RMSE	0.0465818032623478	0.0296632342377023	0.636798753166329
KCNB1	p.R2	0.741625169846824	0.423062299874032	0.570452995765249
KCNB1	p.RMSE	0.502627496604507	0.0061206337492818	0.0121772759959008
KCNC4	gain.R2	0.151216846686857	0.233057506489124	1.54121390304974
KCNC4	gain.RMSE	-0.000182400501764203	0.000316663455279473	-1.73608872901478
KCNC4	intra.R2	0.209269621166119	0.333266435322961	1.59252180735021
KCNC4	intra.RMSE	0.167164291977726	0.0583699733451781	0.349177283345631
KCNC4	multi.R2	0.360486467852976	0.502151230151558	1.39298219193171
KCNC4	multi.RMSE	0.166981891475961	0.0581012962012166	0.347949682972544
KCNC4	p.R2	0.358863994348463	0.280562277389687	0.781806706184228
KCNC4	p.RMSE	0.487532445719836	0.0240839092182267	0.0493996028975407
KCND2	gain.R2	0.268811051603214	0.593892930142018	2.20933226740488
KCND2	gain.RMSE	-0.00017776563191779	0.000320098962478245	-1.80067968720906
KCND2	intra.R2	0.0562000324885126	0.102938423556666	1.8316434884216
KCND2	intra.RMSE	0.122385565435284	0.0604774471148173	0.494155065588981
KCND2	multi.R2	0.325011084091727	0.604632197733555	1.86034331543878
KCND2	multi.RMSE	0.122207799803366	0.0602723096840217	0.493195277069062
KCND2	p.R2	0.409502899696096	0.39317139936833	0.960118718719973
KCND2	p.RMSE	0.486377029327764	0.0283119307554442	0.0582098434923518
KCND3	gain.R2	0.488353402779222	0.699480435813523	1.43232427957454
KCND3	gain.RMSE	-0.000419212939741438	0.0007123498836893	-1.69925547653339
KCND3	intra.R2	0.24731946942767	0.300437268443106	1.21477402947029
KCND3	intra.RMSE	0.134189675645715	0.0631914395361	0.47091133674797
KCND3	multi.R2	0.735672872206892	0.866301195142991	1.17756305536214
KCND3	multi.RMSE	0.133770462705973	0.0626302761291533	0.468192117020738
KCND3	p.R2	0.293309095002572	0.293052333926413	0.999124605815047
KCND3	p.RMSE	0.469237860207891	0.0499805553069177	0.106514327903495
KCNE4	gain.R2	0.223189039227136	0.244114583821798	1.0937570441054
KCNE4	gain.RMSE	-0.000238841261595907	0.000346312052981535	-1.44996744141913
KCNE4	intra.R2	0.31571347570552	0.400756395090454	1.26936740408337
KCNE4	intra.RMSE	0.196187405972871	0.073954599614176	0.376958955379646
KCNE4	multi.R2	0.538902514932656	0.595790616009996	1.10556287918688
KCNE4	multi.RMSE	0.195948564711275	0.0736822164043927	0.37602835475198
KCNE4	p.R2	0.296571999346752	0.254851363904875	0.85932375432012
KCNE4	p.RMSE	0.460935315627494	0.0750573851162027	0.162837132611597
KCNJ15	gain.R2	0.661269554883925	0.879327620330937	1.32975669881746
KCNJ15	gain.RMSE	-0.000964553690597034	0.00154866896705416	-1.60558088383402
KCNJ15	intra.R2	1.55811470745699	3.84020378833384	2.46464767321365
KCNJ15	intra.RMSE	0.163228847544339	0.0834886784722729	0.511482374153223
KCNJ15	multi.R2	2.21938426234092	4.57222779042195	2.06013346494552
KCNJ15	multi.RMSE	0.162264293853742	0.0821182897489389	0.506077386457904
KCNJ15	p.R2	0.291652205455223	0.383572595117571	1.31517124829855
KCNJ15	p.RMSE	0.417946933027403	0.151238395463639	0.361860282998471
KCNJ16	gain.R2	0.560986917641104	0.938594365123709	1.67311275113225
KCNJ16	gain.RMSE	-0.000312083932565513	0.000567673610968475	-1.81897737029223
