target_gene	view	Predictor	Predictor_original	Importance	nsamples
KCNK3	para_ct	PVL	PVL	9.32725090461382	10
KCNK3	para_ct	Tumor_Epithelial_cells	Tumor Epithelial cells	8.88941603601785	10
KCNK6	intra	Fibroblasts	Fibroblasts	19.1452087824945	10
KCNK6	intra	Tumor_Epithelial_cells	Tumor Epithelial cells	15.2054567999904	10
KCNK6	intra	TAM	TAM	12.1275523992393	10
KCNK6	intra	B_cells	B cells	9.57817485745609	9
KCNK6	intra	Monocytes	Monocytes	3.53891770003046	10
KCNK6	juxta_ct	Fibroblasts	Fibroblasts	25.9614591456704	10
KCNK6	juxta_ct	Tumor_Epithelial_cells	Tumor Epithelial cells	24.6946240156624	10
KCNK6	juxta_ct	TAM	TAM	21.7068451498858	10
KCNK6	juxta_ct	B_cells	B cells	15.4037909048161	9
KCNK6	juxta_ct	Monocytes	Monocytes	10.0492202396494	10
KCNK6	para_ct	Normal_Epithelial_cells	Normal Epithelial cells	29.0839415971794	3
KCNK6	para_ct	Tumor_Epithelial_cells	Tumor Epithelial cells	19.8119757240678	10
KCNK6	para_ct	TAM	TAM	18.8515367452851	10
KCNK6	para_ct	T_NK_cells	T-NK cells	18.6653072603048	7
KCNK6	para_ct	PVL	PVL	18.4457741755846	10
KCNMA1	intra	Fibroblasts	Fibroblasts	32.133558841042	10
KCNMA1	intra	Tumor_Epithelial_cells	Tumor Epithelial cells	22.8307456432272	10
KCNMA1	intra	TAM	TAM	22.3230084516585	10
KCNMA1	intra	B_cells	B cells	15.9651946906986	9
KCNMA1	intra	Monocytes	Monocytes	7.11494856406129	10
KCNMA1	juxta_ct	Fibroblasts	Fibroblasts	44.8622758225202	10
KCNMA1	juxta_ct	TAM	TAM	38.4641233167005	10
KCNMA1	juxta_ct	Tumor_Epithelial_cells	Tumor Epithelial cells	37.830515858784	10
KCNMA1	juxta_ct	B_cells	B cells	24.8351279984239	9
KCNMA1	juxta_ct	Monocytes	Monocytes	18.8108970681052	10
KCNMA1	para_ct	Normal_Epithelial_cells	Normal Epithelial cells	37.9693933540798	3
KCNMA1	para_ct	B_cells	B cells	34.7387499353166	9
KCNMA1	para_ct	TAM	TAM	33.7236229556165	10
KCNMA1	para_ct	Fibroblasts	Fibroblasts	33.5500028832555	10
KCNMA1	para_ct	PVL	PVL	33.459948850014	10
KCNMB1	intra	Fibroblasts	Fibroblasts	14.2854700851507	10
KCNMB1	intra	Tumor_Epithelial_cells	Tumor Epithelial cells	10.5702484880186	10
KCNMB1	intra	TAM	TAM	9.32553128459025	10
KCNMB1	intra	B_cells	B cells	7.02210143652335	9
KCNMB1	intra	PVL	PVL	4.76462881827362	10
KCNMB1	juxta_ct	Fibroblasts	Fibroblasts	18.9911288936836	10
KCNMB1	juxta_ct	Tumor_Epithelial_cells	Tumor Epithelial cells	16.3604402518487	10
KCNMB1	juxta_ct	TAM	TAM	15.0081608585395	10
KCNMB1	juxta_ct	B_cells	B cells	10.5364401446869	9
KCNMB1	juxta_ct	Monocytes	Monocytes	8.55450150154978	10
KCNMB1	para_ct	Normal_Epithelial_cells	Normal Epithelial cells	16.7304937273056	3
KCNMB1	para_ct	PVL	PVL	15.2913096785853	10
KCNMB1	para_ct	Tumor_Epithelial_cells	Tumor Epithelial cells	14.259673439457	10
