target_gene	orig.ident	view	value	p_value
KCNJ15	IU_PDA_T1	para_ct	0.0782067363248476	0.0196346881326228
KCNJ15	IU_PDA_T10	intercept	0.0082333814411985	NA
KCNJ15	IU_PDA_T10	intra	-0.0240497254591632	0.570270049189556
KCNJ15	IU_PDA_T10	juxta_ct	-0.0262614629550561	0.605739799771571
KCNJ15	IU_PDA_T10	para_ct	-0.0475465430686563	0.28674539120789
KCNJ15	IU_PDA_T11	intercept	0.0100950415359815	NA
KCNJ15	IU_PDA_T11	intra	0.00917476351681967	0.906925504324051
KCNJ15	IU_PDA_T11	juxta_ct	0.172719217274559	0.00600884586158879
KCNJ15	IU_PDA_T11	para_ct	0.0983728941616849	0.0522541143835222
KCNJ15	IU_PDA_T12	intercept	-0.00939838529794632	NA
KCNJ15	IU_PDA_T12	intra	0.524149554454348	0
KCNJ15	IU_PDA_T12	juxta_ct	0.172316393522976	0.00015969734103094
KCNJ15	IU_PDA_T12	para_ct	0.336098311286458	0
KCNJ15	IU_PDA_T2	intercept	0.0402107758560126	NA
KCNJ15	IU_PDA_T2	intra	0.0241220765690171	0.798495785112911
KCNJ15	IU_PDA_T2	juxta_ct	0.309676712692191	1.29766213352589e-06
KCNJ15	IU_PDA_T2	para_ct	0.134822516345409	0.00076466919712459
KCNJ15	IU_PDA_T3	intercept	0.0195869450184209	NA
KCNJ15	IU_PDA_T3	intra	0.247683042722654	0.000219102216441058
KCNJ15	IU_PDA_T3	juxta_ct	0.0470873121284894	0.422539799855506
KCNJ15	IU_PDA_T3	para_ct	0.153260785568328	0.000207381552338681
KCNJ15	IU_PDA_T4	intercept	0.0113379744493231	NA
KCNJ15	IU_PDA_T4	intra	0.00812493265244118	0.639183593823246
KCNJ15	IU_PDA_T4	juxta_ct	0.00898283843870211	0.553724470499908
KCNJ15	IU_PDA_T4	para_ct	0.00123812610279073	0.930348467935221
KCNJ15	IU_PDA_T6	intercept	0.00803248854176548	NA
KCNJ15	IU_PDA_T6	intra	0.278391117999095	0.00652005255665955
KCNJ15	IU_PDA_T6	juxta_ct	0.366814494364764	2.48217685641094e-05
KCNJ15	IU_PDA_T6	para_ct	0.251387954684919	1.65411719876829e-08
KCNJ15	IU_PDA_T8	intercept	0.0154250785866261	NA
KCNJ15	IU_PDA_T8	intra	0.207229833399167	0.0128434157708908
KCNJ15	IU_PDA_T8	juxta_ct	-0.00231240587226353	0.973932634869803
KCNJ15	IU_PDA_T8	para_ct	0.14394689791437	0.000589806443950236
KCNJ15	IU_PDA_T9	intercept	0.0264697590859277	NA
KCNJ15	IU_PDA_T9	intra	0.179283421016787	0.0369438739154093
KCNJ15	IU_PDA_T9	juxta_ct	-0.0303615063072865	0.660021091183133
KCNJ15	IU_PDA_T9	para_ct	0.393642236852955	0
KCNJ16	IU_PDA_T1	intercept	0.00366626115958564	NA
KCNJ16	IU_PDA_T1	intra	0.0522686467616091	0.104576227558007
KCNJ16	IU_PDA_T1	juxta_ct	0.00893632178821525	0.845220314592867
KCNJ16	IU_PDA_T1	para_ct	0.0286808487976952	0.413501671989535
KCNJ16	IU_PDA_T10	intercept	0.00165595772518666	NA
KCNJ16	IU_PDA_T10	intra	0.0356892825279565	0.58520690519663
KCNJ16	IU_PDA_T10	juxta_ct	-0.0520768687991157	0.400795590782268
KCNJ16	IU_PDA_T10	para_ct	0.211302841645805	8.77038389954787e-05
KCNJ16	IU_PDA_T11	intercept	0.00151613511198164	NA
KCNJ16	IU_PDA_T11	intra	-0.00147790554685855	0.902320234626159
KCNJ16	IU_PDA_T11	juxta_ct	-0.00533275511012984	0.718398487864121
KCNJ16	IU_PDA_T11	para_ct	-0.00616492589853318	0.678365445817873
KCNJ16	IU_PDA_T12	intercept	0.00221109281359999	NA
KCNJ16	IU_PDA_T12	intra	0.370625943065296	3.0669689010665e-10
KCNJ16	IU_PDA_T12	juxta_ct	-0.070926394409638	0.189475427432273
KCNJ16	IU_PDA_T12	para_ct	0.0865184098815445	0.122084967273303
KCNJ16	IU_PDA_T2	intercept	0.00666297244833642	NA
KCNJ16	IU_PDA_T2	intra	-0.0812102271848801	0.249123237900306
KCNJ16	IU_PDA_T2	juxta_ct	0.00852970590724353	0.895065443485574
KCNJ16	IU_PDA_T2	para_ct	0.457726343541713	0
KCNJ16	IU_PDA_T3	intercept	0.000800825822124078	NA
KCNJ16	IU_PDA_T3	intra	-0.00245743772840352	0.787466900647384
KCNJ16	IU_PDA_T3	juxta_ct	-0.00248582127757569	0.758142140604933
KCNJ16	IU_PDA_T3	para_ct	-0.00206561216526148	0.802966933590687
KCNJ16	IU_PDA_T4	intercept	0.00113015879563061	NA
KCNJ16	IU_PDA_T4	intra	0.0421041838239642	0.107798658236735
KCNJ16	IU_PDA_T4	juxta_ct	-0.0142447013543726	0.675960208483103
KCNJ16	IU_PDA_T4	para_ct	-0.00879965475286401	0.73371780432811
KCNJ16	IU_PDA_T6	intercept	-0.00524636421744879	NA
KCNJ16	IU_PDA_T6	intra	0.501021641442704	1.00697228333502e-12
KCNJ16	IU_PDA_T6	juxta_ct	0.475657822604866	5.02931030155196e-13
KCNJ16	IU_PDA_T6	para_ct	0.223370182679134	1.6948282786089e-06
KCNJ16	IU_PDA_T8	intercept	0.0107867260231622	NA
KCNJ16	IU_PDA_T8	intra	0.0590335148365515	0.576404252543411
KCNJ16	IU_PDA_T8	juxta_ct	0.0651188748812806	0.419045591983499
KCNJ16	IU_PDA_T8	para_ct	0.339093686397435	6.55031584528842e-14
KCNJ16	IU_PDA_T9	intercept	0.000971378316577935	NA
KCNJ16	IU_PDA_T9	intra	-0.00932790738161455	0.833785981617315
KCNJ16	IU_PDA_T9	juxta_ct	0.267723779696355	7.71100196632624e-05
