target_gene	orig.ident	intra.RMSE	intra.R2	multi.RMSE	multi.R2	p.RMSE	p.R2	gain.RMSE	gain.R2
KCNK15	IU_PDA_T1	0.0298689150811348	0	0.0298641825625924	6.16772649975061e-05	0.499888709231664	0.186950483150029	-4.73251854240034e-06	6.16772649975061e-05
KCNK15	IU_PDA_T10	0.0573638150364233	0	0.0573456123654195	0	0.498628996713165	1	-1.8202671003803e-05	0
KCNK15	IU_PDA_T11	0.0735796027360616	0.00366641350951102	0.0735757040496104	0	0.499766480601195	0.813049516849971	-3.89868645118974e-06	-0.00366641350951102
KCNK15	IU_PDA_T12	0.0680917648372131	4.06346451464756e-05	0.0680913528602443	0.00168238226476936	0.499986223715476	0.192230655355895	-4.1197696880324e-07	0.00164174761962288
KCNK15	IU_PDA_T2	0.0237226581593655	0.0352095780774753	0.0239034101821197	0	0.505596225921647	0.813049516849971	0.000180752022754201	-0.0352095780774753
KCNK15	IU_PDA_T3	0.0830148285220168	0	0.0830129602436707	0	0.499927755733219	1	-1.86827834609826e-06	0
KCNK15	IU_PDA_T4	0.035199480438031	0	0.036028205887564	0.868509520902243	0.525347816738901	0.0951293151238824	0.000828725449533003	0.868509520902243
KCNK15	IU_PDA_T6	0.0844850798518081	0	0.0844759233286734	0	0.49952374525095	1	-9.1565231346985e-06	0
KCNK15	IU_PDA_T8	0.0346503887725754	0.00189694082745939	0.0346505326538337	2.50211835806091e-05	0.500009559540607	0.810189719793403	1.43881258303502e-07	-0.00187191964387878
KCNK15	IU_PDA_T9	0.038941601710758	0	0.0389304131214794	0	0.499429772022515	1	-1.11885892786004e-05	0
KCNK17	IU_PDA_T1	0.051964662546812	0	0.0519492778158478	0.321605160055916	0.499035664199846	0.0373808462060981	-1.53847309641991e-05	0.321605160055916
KCNK17	IU_PDA_T10	0.0518830251316684	0.0187876049055702	0.0518873117712555	0.0122531709178109	0.500210166670726	0.644671514200691	4.28663958710468e-06	-0.0065344339877593
KCNK17	IU_PDA_T11	0.030680475950239	0	0.0306773961635472	0	0.499897111041338	1	-3.07978669180156e-06	0
