target_gene	view	Predictor	Predictor_original	Importance	nsamples	importance_rank	normalized_importance
KCNJ16	juxta_ct	TAM	TAM	1.99788473893686	10	4	0.577010759542851
KCNJ16	juxta_ct	T_NK_cells	T-NK cells	0.0361355501276779	7	9	0.0104363384029679
KCNJ16	juxta_ct	Tumor_Epithelial_cells	Tumor Epithelial cells	2.31396695602405	10	3	0.668298728565788
KCNJ16	para_ct	B_cells	B cells	1.38845740732441	9	9	0.265918102305479
KCNJ16	para_ct	Endothelial_cells	Endothelial cells	1.98427391029397	10	7	0.380029196355722
KCNJ16	para_ct	Fibroblasts	Fibroblasts	2.08048400074606	10	6	0.398455404131846
KCNJ16	para_ct	Hepatocytes	Hepatocytes	2.55525922616729	4	2	0.489384608225299
KCNJ16	para_ct	Monocytes	Monocytes	1.92001883747387	10	8	0.367723030579454
KCNJ16	para_ct	Normal_Epithelial_cells	Normal Epithelial cells	5.22137227697794	3	1	1
KCNJ16	para_ct	PVL	PVL	2.25589775331478	10	4	0.432050739469675
KCNJ16	para_ct	TAM	TAM	2.10204521526457	10	5	0.402584819422455
KCNJ16	para_ct	T_NK_cells	T-NK cells	0.904520251750275	7	10	0.173234200468425
