target_gene	orig.ident	measure	value
KCND2	IU_PDA_T9	gain.RMSE	4.49556057789957e-05
KCND2	IU_PDA_T9	gain.R2	0
KCND3	IU_PDA_T1	intra.RMSE	0.102864348562036
KCND3	IU_PDA_T1	intra.R2	0.0364901119581273
KCND3	IU_PDA_T1	multi.RMSE	0.102918782970682
KCND3	IU_PDA_T1	multi.R2	0.012190795060889
KCND3	IU_PDA_T1	p.RMSE	0.502756361065184
KCND3	IU_PDA_T1	p.R2	0.760953415084621
KCND3	IU_PDA_T1	gain.RMSE	5.4434408645998e-05
KCND3	IU_PDA_T1	gain.R2	-0.0242993168972383
KCND3	IU_PDA_T10	intra.RMSE	0.0803865171646777
KCND3	IU_PDA_T10	intra.R2	0
KCND3	IU_PDA_T10	multi.RMSE	0.0803931394458018
KCND3	IU_PDA_T10	multi.R2	0.00778672295373539
KCND3	IU_PDA_T10	p.RMSE	0.50017165026728
KCND3	IU_PDA_T10	p.R2	0.186950483150029
KCND3	IU_PDA_T10	gain.RMSE	6.62228112409402e-06
KCND3	IU_PDA_T10	gain.R2	0.00778672295373539
KCND3	IU_PDA_T11	intra.RMSE	0.126460301322197
KCND3	IU_PDA_T11	intra.R2	0.0882710359236594
KCND3	IU_PDA_T11	multi.RMSE	0.126367395077823
KCND3	IU_PDA_T11	multi.R2	0.252149777027249
KCND3	IU_PDA_T11	p.RMSE	0.496875545360826
