target_gene	orig.ident	n_spots	n_positive_spots	mean_target	sd_target	n_predictors_used	predictors_removed
KCNS3	IU_PDA_T12	3642	970	0.21211637278271	0.367186866983607	9	Hepatocytes
KCNS3	IU_PDA_T2	4118	419	0.0745762151744028	0.225249181300104	10	
KCNS3	IU_PDA_T3	4354	542	0.0918157303074573	0.248085922571752	8	Hepatocytes; Normal Epithelial cells
KCNS3	IU_PDA_T4	3621	506	0.106920371736689	0.271977958719502	9	Normal Epithelial cells
KCNS3	IU_PDA_T6	3397	452	0.0987399636411159	0.257532655060998	7	B cells; Hepatocytes; T-NK cells
KCNS3	IU_PDA_T8	3779	151	0.0290913656178772	0.144416696233569	8	Normal Epithelial cells; T-NK cells
KCNS3	IU_PDA_T9	3526	331	0.0680583691367425	0.214103187232774	8	Hepatocytes; Normal Epithelial cells
KCNT2	IU_PDA_T1	3530	10	0.00207845238348658	0.0395346142228728	9	Normal Epithelial cells
KCNT2	IU_PDA_T10	2714	7	0.00178777828442138	0.0351632323508128	8	Hepatocytes; Normal Epithelial cells
KCNT2	IU_PDA_T11	2777	20	0.00557609076112048	0.0669118613382078	7	Hepatocytes; Normal Epithelial cells; T-NK cells
KCNT2	IU_PDA_T12	3642	57	0.0110709279264506	0.0883061488406394	9	Hepatocytes
KCNT2	IU_PDA_T2	4118	19	0.00319810500986862	0.0469794162454752	10	
KCNT2	IU_PDA_T3	4354	17	0.00279948717906	0.0451153518771325	8	Hepatocytes; Normal Epithelial cells
KCNT2	IU_PDA_T4	3621	27	0.00550438254610412	0.064461237947439	9	Normal Epithelial cells
KCNT2	IU_PDA_T6	3397	23	0.00517051680462508	0.0638977090393394	7	B cells; Hepatocytes; T-NK cells
KCNT2	IU_PDA_T8	3779	17	0.0031181534981527	0.0463916580495144	8	Normal Epithelial cells; T-NK cells
KCNT2	IU_PDA_T9	3526	62	0.0125330460916169	0.0944017675337708	8	Hepatocytes; Normal Epithelial cells
