target_gene	view	Predictor	Predictor_original	Importance	nsamples
KCNK15	intra	Endothelial_cells	Endothelial cells	0.137116839449694	10
KCNK15	intra	Fibroblasts	Fibroblasts	1.95384045822848	10
KCNK15	intra	Hepatocytes	Hepatocytes	5.91290914134626e-06	4
KCNK15	intra	Monocytes	Monocytes	0.434954280003673	10
KCNK15	intra	Normal_Epithelial_cells	Normal Epithelial cells	0.256139264768363	3
KCNK15	intra	PVL	PVL	0.111072729428566	10
KCNK15	intra	TAM	TAM	0.971638940476655	10
KCNK15	intra	T_NK_cells	T-NK cells	0.0939047404913647	7
KCNK15	intra	Tumor_Epithelial_cells	Tumor Epithelial cells	1.46541895580706	10
KCNK15	juxta_ct	B_cells	B cells	1.18755423626936	9
KCNK15	juxta_ct	Endothelial_cells	Endothelial cells	0.212161690904303	10
KCNK15	juxta_ct	Fibroblasts	Fibroblasts	2.23996269897555	10
KCNK15	juxta_ct	Hepatocytes	Hepatocytes	1.82575732405259e-05	4
KCNK15	juxta_ct	Monocytes	Monocytes	0.704469933408916	10
KCNK15	juxta_ct	Normal_Epithelial_cells	Normal Epithelial cells	0.0885612136566412	3
KCNK15	juxta_ct	PVL	PVL	0.186096894610276	10
KCNK15	juxta_ct	TAM	TAM	1.5761875846035	10
KCNK15	juxta_ct	T_NK_cells	T-NK cells	0.233241497185241	7
KCNK15	juxta_ct	Tumor_Epithelial_cells	Tumor Epithelial cells	1.85460162398086	10
