module	gene	n_sections	mean_delta	median_delta
KCNMA1_KCNMB1	HADH	10	0.0389215569837921	0.0321339256495997
KCNMA1_KCNMB1	MOV10	10	0.0388584918883759	0.0218210504599509
KCNMA1_KCNMB1	DUSP22	10	0.0386782932124501	0.0303814138170255
KCNMA1_KCNMB1	SNX33	10	0.0386592040885562	0.0389943816983392
KCNMA1_KCNMB1	ARHGAP17	10	0.0386136747258112	0.038030729608426
KCNMA1_KCNMB1	FEZ1	10	0.0386021536221553	0.0130282629570768
KCNMA1_KCNMB1	PLEKHM2	10	0.0385867675395986	0.0388519048190971
KCNMA1_KCNMB1	CLDN5	10	0.0385718240323654	0.0204559179201737
KCNMA1_KCNMB1	CDS2	10	0.0385609052060201	0.0400380354457259
KCNMA1_KCNMB1	SYNC	10	0.0385307085700906	0.0165829074351002
KCNMA1_KCNMB1	CTDSP2	10	0.0385093120762739	0.023037948978013
KCNMA1_KCNMB1	NUDCD3	10	0.0383788124913183	0.0444268631804959
KCNMA1_KCNMB1	TGFBR2	10	0.0382632100565651	0.0296424117211753
KCNMA1_KCNMB1	MSN	10	0.0382038216328631	0.0461090326087509
KCNMA1_KCNMB1	TMPO	10	0.0380890973216464	0.0275313549041633
KCNMA1_KCNMB1	ZFAND5	10	0.0380709764698802	0.0560208885230402
KCNMA1_KCNMB1	ADCY6	10	0.0380586369812363	0.0377845583644885
KCNMA1_KCNMB1	EHBP1L1	10	0.0380340268638005	0.0401767131001802
KCNMA1_KCNMB1	MOB1A	10	0.0379874555744036	0.059288860944292
KCNMA1_KCNMB1	CDKN1B	10	0.0379856575828874	0.0468145780405017
KCNMA1_KCNMB1	SULF2	10	0.0379309416081415	0.0143937022262875
KCNMA1_KCNMB1	ZDHHC7	10	0.0378663044923171	0.0312668060831298
KCNMA1_KCNMB1	CYBRD1	10	0.0376269456928649	0.0401426054555262
KCNMA1_KCNMB1	ADIRF	10	0.0375591374354016	0.050060237169948
KCNMA1_KCNMB1	COL6A3	10	0.0375188512272977	0.03390537118992
KCNMA1_KCNMB1	CTDSP1	10	0.0374516414811159	0.0270770610509214
KCNMA1_KCNMB1	EOGT	10	0.0372249787852196	0.041896014918024
KCNMA1_KCNMB1	ENPP2	10	0.0372154026860138	0.0489013042918306
KCNMA1_KCNMB1	ADARB1	10	0.0370840670443746	0.0250063588092943
KCNMA1_KCNMB1	USP25	10	0.0370534701094734	0.0291284631748172
KCNMA1_KCNMB1	ALOX5	10	0.0370509567821472	0.0256271663383826
KCNMA1_KCNMB1	DMPK	10	0.0370027218684844	0.0310825323319065
KCNMA1_KCNMB1	CXCL12	10	0.0369880895236034	0.0347037594887994
KCNMA1_KCNMB1	FBXL5	10	0.0369701538976938	0.0416634088076587
KCNMA1_KCNMB1	SCRG1	10	0.0369426456875406	0.0052662813100249
KCNMA1_KCNMB1	CPXM2	10	0.0369353550159858	0.00401150933317595
KCNMA1_KCNMB1	HEYL	10	0.0368441868946582	0.0163041570698329
KCNMA1_KCNMB1	PARVG	10	0.0368376437226815	0.0199651724070132
KCNMA1_KCNMB1	MAFB	10	0.0366605823976718	0.0199134906668197
KCNMA1_KCNMB1	EIF5A2	10	0.0366197167438806	0.0243225281152442
KCNMA1_KCNMB1	ACSL1	10	0.0365598633764213	0.0139886507874002
KCNMA1_KCNMB1	CALHM2	10	0.036544224591501	0.0257742929159236
KCNMA1_KCNMB1	LPCAT1	10	0.0364739629743456	0.0235575091636182
KCNMA1_KCNMB1	PJA2	10	0.0363265913664269	0.0262780454847863
KCNMA1_KCNMB1	PTGS1	10	0.0363117834024634	0.0293626522935528
KCNMA1_KCNMB1	ILK	10	0.0361823096576669	0.032254115468776
KCNMA1_KCNMB1	HAGH	10	0.0361793522619026	0.0318297284489685
KCNMA1_KCNMB1	PALM2-AKAP2	10	0.0361771769291174	0.0298779223358862
KCNMA1_KCNMB1	YAP1	10	0.0359941566020356	0.0321199990025555
KCNMA1_KCNMB1	ISM1	10	0.0359846951675065	0.0244265871939986
KCNMA1_KCNMB1	PNISR	10	0.0359492027392708	0.0437648464920712
KCNMA1_KCNMB1	FBLN1	10	0.0359207698172268	0.0294544718197083
KCNMA1_KCNMB1	TNS2	10	0.0359097766284698	0.0073060736889523
KCNMA1_KCNMB1	FAM172A	10	0.0358940153675534	0.0245791475180503
KCNMA1_KCNMB1	OGA	10	0.0358767042036118	0.0302193026207579
KCNMA1_KCNMB1	VPS33A	10	0.035849164462933	0.0264660467618466
KCNMA1_KCNMB1	MLLT1	10	0.0358230840010736	0.0314160774361228
KCNMA1_KCNMB1	TMX4	10	0.0357601243199697	0.0315555576496194
KCNMA1_KCNMB1	FN3KRP	10	0.0357095574839817	0.0149140379741122
KCNMA1_KCNMB1	INS	10	0.0355519168624128	-0.000570952873180052
KCNMA1_KCNMB1	DENND1A	10	0.0355181555520037	0.0370033931681977
KCNMA1_KCNMB1	BOC	10	0.0354972972538828	0.0167500298488237
KCNMA1_KCNMB1	UBR5	10	0.035458142651922	0.013326753950732
KCNMA1_KCNMB1	CACNA1H	10	0.0354459198124665	0.0330297854586079
KCNMA1_KCNMB1	ID3	10	0.0354418447523998	0.0269917311647073
KCNMA1_KCNMB1	TBC1D2B	10	0.0352870903674815	0.0211450805026424
KCNMA1_KCNMB1	ELP2	10	0.0352850885914658	0.0116559262524341
KCNMA1_KCNMB1	FER	10	0.0352467170098318	0.0314150810954973
KCNMA1_KCNMB1	NUDT4	10	0.0351859468995689	0.0289462699968141
KCNMA1_KCNMB1	ARID4A	10	0.035184089163892	0.0327391973760361
KCNMA1_KCNMB1	POSTN	10	0.0351525458546054	0.00270881887055347
KCNMA1_KCNMB1	MOB2	10	0.0351290115979431	0.0355849682548462
KCNMA1_KCNMB1	IFNGR1	10	0.035098428217564	0.0277976312613692
KCNMA1_KCNMB1	PRDM2	10	0.0350003639550281	0.0362811433934259
KCNMA1_KCNMB1	KIF1C	10	0.0349764315278945	-0.00932708413221701
KCNMA1_KCNMB1	AKAP6	10	0.0349124145333506	0.0362935297644006
KCNMA1_KCNMB1	ASAH1	10	0.034904824808229	0.00821759632331034
KCNMA1_KCNMB1	SLC39A14	10	0.0348355721483735	0.0272355562827902
