target_gene	gene	n_sections_tested	n_sections_delta_gt_0	n_sections_delta_lt_0	mean_delta	median_delta	wilcox_p	wilcox_fdr
KCNMA1	MT1E	3	0	3	-0.157140133496815	-0.150747643409329	0.18144920772142	0.83939775598063
KCNMA1	KLK1	3	0	3	-0.15600812304225	-0.168981016237187	0.18144920772142	0.83939775598063
KCNMA1	CELA3A	3	1	2	-0.15377513115345	-0.159717931932618	0.422678074170635	0.929095739544201
KCNMA1	DPEP1	3	0	3	-0.146773611107893	-0.0702986080145507	0.18144920772142	0.83939775598063
KCNMA1	AMY2B	3	0	3	-0.146083001208897	-0.0912704666276403	0.18144920772142	0.83939775598063
KCNMA1	DDT	3	0	3	-0.145257688069586	-0.126050840177076	0.18144920772142	0.83939775598063
KCNMA1	SLC4A2	3	0	3	-0.144538050107082	-0.167464087202853	0.18144920772142	0.83939775598063
KCNMA1	CTH	3	1	2	-0.141261718785507	-0.188111586924232	0.422678074170635	0.929095739544201
KCNMA1	P4HB	3	0	3	-0.139897608470594	-0.179295335625113	0.18144920772142	0.83939775598063
KCNMA1	EPHX1	3	0	3	-0.139797816951593	-0.0990903032027268	0.18144920772142	0.83939775598063
KCNMA1	SLC25A37	3	0	3	-0.139683319273931	-0.145932032748756	0.18144920772142	0.83939775598063
KCNMA1	PRSS1	3	0	3	-0.13950108584632	-0.078309455934642	0.18144920772142	0.83939775598063
KCNMA1	SLC1A4	3	0	3	-0.138376221108994	-0.119220608132822	0.18144920772142	0.83939775598063
KCNMA1	SYCN	3	1	2	-0.138105810689097	-0.203070037143807	0.422678074170635	0.929095739544201
KCNMA1	GNL3	3	0	3	-0.137049729173165	-0.135887340746754	0.18144920772142	0.83939775598063
KCNMA1	MYO5C	3	0	3	-0.135267862804595	-0.15583343937608	0.18144920772142	0.83939775598063
KCNN3	BRSK2	3	0	3	-0.190504494297513	-0.200142889942821	0.18144920772142	0.736465429921235
KCNN3	ATP6V0D1	3	0	3	-0.180201266041781	-0.166242055972504	0.18144920772142	0.736465429921235
KCNN3	SRSF11	3	0	3	-0.170521170043673	-0.132531475131138	0.18144920772142	0.736465429921235
KCNN3	PACS2	3	0	3	-0.164454797964208	-0.149941916963611	0.18144920772142	0.736465429921235
KCNN3	INTS11	3	0	3	-0.163680760547858	-0.191317120341577	0.18144920772142	0.736465429921235
KCNN3	KMT2C	3	0	3	-0.163585101415783	-0.184661137052639	0.18144920772142	0.736465429921235
KCNN3	MAP7	3	0	3	-0.16159515309187	-0.0991704627463338	0.18144920772142	0.736465429921235
KCNN3	TCF25	3	0	3	-0.155486529687349	-0.188319750990075	0.18144920772142	0.736465429921235
KCNN3	WDR45B	3	0	3	-0.153908935393262	-0.0975590668843184	0.18144920772142	0.736465429921235
KCNN3	FKBP11	3	0	3	-0.152487665794288	-0.175213234062472	0.18144920772142	0.736465429921235
KCNN3	TRHDE	3	0	3	-0.151528123150428	-0.103435574901669	0.18144920772142	0.736465429921235
KCNN3	PDCD5	3	1	2	-0.151313455260915	-0.114024802101206	0.422678074170635	0.87032633633487
KCNN3	TXNL4A	3	0	3	-0.148846208767551	-0.108820772012504	0.18144920772142	0.736465429921235
KCNN3	INTS6	3	0	3	-0.1461704801769	-0.163383593782682	0.18144920772142	0.736465429921235
KCNN3	PLEKHH3	3	0	3	-0.145454816036358	-0.19169263132313	0.18144920772142	0.736465429921235
KCNN3	RBM17	3	0	3	-0.140606498411275	-0.122687563075621	0.18144920772142	0.736465429921235
KCNN3	PLPP5	3	0	3	-0.137572420174077	-0.142099095268338	0.18144920772142	0.736465429921235
KCNN3	SNRNP70	3	0	3	-0.133609565900725	-0.141283267367279	0.18144920772142	0.736465429921235
KCNN3	SELENOH	3	0	3	-0.131374784170854	-0.0852085597737852	0.18144920772142	0.736465429921235
KCNN3	INS	3	1	2	-0.129100586962656	-0.0352597478744214	0.789268026134281	1
KCNN3	TRA2A	3	1	2	-0.129089989334004	-0.198735131962185	0.422678074170635	0.87032633633487
KCNN3	FUS	3	0	3	-0.126986676889891	-0.154822016672739	0.18144920772142	0.736465429921235
KCNN3	TEF	3	0	3	-0.126522767325708	-0.141533395427698	0.18144920772142	0.736465429921235
KCNN3	XPNPEP1	3	0	3	-0.126149981097552	-0.0850743532506142	0.18144920772142	0.736465429921235
