gene	Origin	cc_ischia_10	n_spots	n_positive	pct_detected	mean_expression_all_spots	mean_positive_expression	median_positive_expression	mean_positive_expression_plot
KCNK1	Normal Pancreas	CC10	9707	543	5.59390130833419	0.0588235294117647	1.05156537753223	1	1.05156537753223
KCNK1	Pancreas	CC1	8639	656	7.59347146660493	0.0838059960643593	1.10365853658537	1	1.10365853658537
KCNK1	Pancreas	CC2	5063	1670	32.9843966028047	0.517479755085917	1.5688622754491	1	1.5688622754491
KCNK1	Pancreas	CC3	3317	1550	46.7289719626168	0.839312631896292	1.79612903225806	1	1.79612903225806
KCNK1	Pancreas	CC4	7976	1490	18.6810431293882	0.238214643931795	1.2751677852349	1	1.2751677852349
KCNK1	Pancreas	CC5	7164	1085	15.1451702959241	0.176716917922948	1.1668202764977	1	1.1668202764977
KCNK1	Pancreas	CC6	0	0	0	0	NA	NA	0
KCNK1	Pancreas	CC7	2572	184	7.15396578538103	0.0762052877138414	1.06521739130435	1	1.06521739130435
KCNK1	Pancreas	CC8	0	0	0	0	NA	NA	0
KCNK1	Pancreas	CC9	726	22	3.03030303030303	0.0316804407713499	1.04545454545455	1	1.04545454545455
KCNK1	Pancreas	CC10	1	0	0	0	NA	NA	0
